ticker,AY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-13,27.5862
2014-06-16,-1.2973
2014-06-17,-0.0548
2014-06-18,1.0959
2014-06-19,1.2466
2014-06-20,7.0664
2014-06-23,-1.95
2014-06-24,-2.0908
2014-06-25,-0.4427
2014-06-26,-0.1831
2014-06-27,-0.2358
2014-06-30,-0.6567
2014-07-01,-1.137
2014-07-02,-0.2407
2014-07-03,-0.0804
2014-07-07,0.322
2014-07-08,0.0267
2014-07-09,-0.0535
2014-07-10,0.107
2014-07-11,0.1069
2014-07-14,3.1233
2014-07-15,1.5272999999999999
2014-07-16,2.9577
2014-07-17,-0.6191
2014-07-18,-0.5731
2014-07-21,1.0276
2014-07-22,-1.5381
2014-07-23,0.252
2014-07-24,0.7037
2014-07-25,-0.6738
2014-07-28,-1.1558
2014-07-29,-1.1947
2014-07-30,-2.6756
2014-07-31,-4.3616
2014-08-01,-0.1106
2014-08-04,0.9961
2014-08-05,-0.9041
2014-08-06,-3.431
2014-08-07,-1.1709
2014-08-08,2.81
2014-08-11,-0.5917
2014-08-12,0.4252
2014-08-13,4.6853
2014-08-14,-1.0515
2014-08-15,-0.109
2014-08-18,2.0185
2014-08-19,-1.3102
2014-08-20,2.7906
2014-08-21,-1.6604999999999999
2014-08-22,3.1091
2014-08-25,-0.7798
2014-08-26,1.1265
2014-08-27,0.2591
2014-08-28,0.6202
2014-08-29,3.0046
2014-09-02,-2.9918
2014-09-03,3.0583
2014-09-04,-3.4165
2014-09-05,-0.3615
2014-09-08,-1.1143
2014-09-09,-1.1268
2014-09-10,0.4241
2014-09-11,-0.6334
2014-09-12,0.0266
2014-09-15,-2.4429
2014-09-16,1.1159
2014-09-17,0.7806
2014-09-18,-1.6560000000000001
2014-09-19,2.3357
2014-09-22,-3.6624
2014-09-23,2.5895
2014-09-24,-1.0741
2014-09-25,-4.2617
2014-09-26,3.1471999999999998
2014-09-29,-2.1715
2014-09-30,-0.0281
2014-10-01,-4.6936
2014-10-02,-2.7131
2014-10-03,3.0918
2014-10-06,-1.7642
2014-10-07,-2.3646
2014-10-08,-0.092
2014-10-09,-3.8355
2014-10-10,-0.5743
2014-10-13,-0.7381
2014-10-14,-2.4895
2014-10-15,-1.1273
2014-10-16,3.6888
2014-10-17,2.8461
2014-10-20,-0.8805
2014-10-21,3.1091
2014-10-22,-1.9077
2014-10-23,2.4467
2014-10-24,0.2143
2014-10-27,0.2139
2014-10-28,1.0671
2014-10-29,0.0
2014-10-30,-0.6033
