ticker,SD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-06,23.0769
2007-11-07,2.8125
2007-11-08,-2.4316
2007-11-09,1.8692
2007-11-12,-2.7523
2007-11-13,1.2893
2007-11-14,3.2288
2007-11-15,-3.8195
2007-11-16,0.6254
2007-11-19,-1.9577
2007-11-20,-1.4263
2007-11-21,-1.1254
2007-11-23,-2.439
2007-11-26,-0.2333
2007-11-27,-0.1002
2007-11-28,3.6789
2007-11-29,1.6129
2007-11-30,0.7937
2007-12-03,-1.7323
2007-12-04,1.4423
2007-12-05,0.3791
2007-12-06,0.724
2007-12-07,1.8437999999999999
2007-12-10,1.5342
2007-12-11,-0.4231
2007-12-12,2.5797
2007-12-13,1.5089000000000001
2007-12-14,2.0402
2007-12-17,-1.6280999999999999
2007-12-18,-1.597
2007-12-19,-0.5311
2007-12-20,1.4536
2007-12-21,1.462
2007-12-24,1.1527
2007-12-26,-0.2849
2007-12-27,0.4
2007-12-28,1.7928
2007-12-31,0.2516
2008-01-02,-3.0117
2008-01-03,-2.0989
2008-01-04,-2.1733000000000002
2008-01-07,-4.233
2008-01-08,-1.9122
2008-01-09,-1.3742
2008-01-10,0.6481
2008-01-11,2.2537
2008-01-14,2.5819
2008-01-15,-0.5525
2008-01-16,-2.6543
2008-01-17,-3.2023
2008-01-18,0.1638
2008-01-22,0.7848
2008-01-23,-2.6606
2008-01-24,5.9
2008-01-25,-0.0315
2008-01-28,-0.0315
2008-01-29,-2.3622
2008-01-30,-1.7097
2008-01-31,-0.1313
2008-02-01,-0.8873
2008-02-04,3.7135
2008-02-05,0.1918
2008-02-06,-1.6592
2008-02-07,-0.4867
2008-02-08,2.7388
2008-02-11,4.7604
2008-02-12,-1.4541
2008-02-13,4.3037
2008-02-14,1.061
2008-02-15,-1.2248
2008-02-19,-0.1476
2008-02-20,2.3063000000000002
2008-02-21,-0.7803
2008-02-22,3.4081
2008-02-25,0.9859
2008-02-26,-0.5858
2008-02-27,0.1964
2008-02-28,0.8121
2008-02-29,4.5556
2008-03-03,3.6132
2008-03-04,1.5897000000000001
2008-03-05,-0.53
2008-03-06,-2.4613
2008-03-07,0.6764
2008-03-10,-0.3101
2008-03-11,5.1063
2008-03-12,-1.3564
2008-03-13,0.85
2008-03-14,-2.2059
2008-03-17,-5.9065
2008-03-18,2.9095
2008-03-19,-3.377
2008-03-20,2.5196
2008-03-24,0.3964
2008-03-25,0.9739
2008-03-26,1.2774
2008-03-27,-0.2317
2008-03-28,0.129
