ticker,LNGT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-03-28,0.0
2002-05-14,0.0
2002-06-18,0.0
2002-12-05,60.0
2002-12-20,-12.5
2004-05-05,0.0
2005-03-08,-28.5714
2005-03-28,0.0
2005-12-14,6363.5017
2005-12-21,-73.6842
2005-12-23,280.0
2005-12-27,0.0
2005-12-30,0.0
2006-01-05,-46.3158
2006-01-10,96.0784
2006-01-11,0.0
2006-01-17,0.0
2006-02-14,-49.0
2006-02-17,0.0
2006-03-08,-50.9804
2006-03-15,-20.0
2006-03-22,-25.0
2006-03-23,0.0
2006-03-29,0.0
2006-03-30,0.0
2006-03-31,0.0
2006-04-05,6.6667
2006-04-06,-6.25
2006-04-07,0.0
2006-04-28,240.0
2006-05-17,-50.9804
2006-05-18,0.0
2006-05-24,-20.0
2006-05-25,0.0
2006-06-05,-25.0
2006-06-20,-46.6667
2006-06-23,125.0
2006-07-10,-33.3333
2006-07-11,0.0
2006-07-12,-8.3333
2006-07-20,0.0
2006-08-21,-27.2727
2006-08-28,-25.0
2006-08-30,0.0
2006-09-05,-16.6667
2006-09-12,0.0
2006-09-19,0.0
2006-09-20,0.0
2006-10-17,-20.0
2006-10-18,75.0
2006-11-02,157.1429
2006-11-09,-33.3333
2006-11-10,-16.6667
2006-11-15,30.0
2006-11-22,0.0
2006-11-24,7.6923
2006-11-27,0.0
2006-12-07,-35.7143
2006-12-08,0.0
2006-12-11,44.4444
2006-12-18,-30.7692
2007-02-09,0.0
2007-06-08,-55.5556
2007-06-11,-50.0
2007-06-12,50.0
2007-06-13,-16.6667
2007-06-14,0.0
2007-06-15,0.0
2007-06-19,-20.0
2007-06-20,-25.0
2007-06-21,-13.3333
2007-06-22,-7.6923
2007-06-25,0.0
2007-06-27,0.0
2007-06-29,-16.6667
2007-07-02,10.0
2007-07-06,-9.0909
2007-07-09,20.0
2007-07-10,-16.6667
2007-07-11,10.0
2007-07-12,9.0909
2007-07-13,50.0
2007-07-16,-16.6667
2007-07-17,-26.6667
2007-07-18,-9.0909
2007-07-19,0.0
2007-07-20,0.0
2007-07-23,20.0
2007-07-24,-16.6667
2007-07-25,0.0
2007-07-26,0.0
2007-07-27,0.0
2007-07-30,0.0
2007-07-31,0.0
2007-08-01,40.0
2007-08-02,-28.5714
2007-08-03,-20.0
2007-08-06,25.0
2007-08-07,0.0
2007-08-08,0.0
2007-08-09,-50.0
2007-08-10,-20.0
2007-08-13,75.0
2007-08-14,-42.8571
2007-08-15,25.0
