ticker,DRNK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-01-23,28958.8235
2013-01-24,0.6154
2013-01-25,0.6116
2013-01-28,0.304
2013-01-29,0.303
2013-01-30,-0.6042
2013-02-01,-0.6079
2013-02-04,-0.6116
2013-02-05,1.5385
2013-02-06,0.9091
2013-02-07,0.3003
2013-02-08,0.8982
2013-02-11,0.8902
2013-02-12,0.5882
2013-02-13,0.5848
2013-02-14,-2.907
2013-02-15,0.5988
2013-02-19,0.2976
2013-02-21,0.8902
2013-02-25,0.5882
2013-02-26,0.5848
2013-02-27,0.2907
2013-03-01,0.5797
2013-03-04,0.2882
2013-03-05,0.2874
2013-03-07,0.2865
2013-03-14,-2.5714
2013-03-18,-1.7595
2013-03-21,-4.4776
2013-03-28,0.0
2013-04-02,0.3125
2013-04-03,0.3115
2013-04-04,0.3106
2013-04-05,0.0
2013-04-08,0.6192
2013-04-09,-0.3077
2013-04-10,0.9259
2013-04-11,0.3058
2013-04-12,1.5244
2013-04-15,0.6006
2013-04-16,0.597
2013-04-17,0.8902
2013-04-19,0.5882
2013-04-22,0.5848
2013-04-23,1.7442
2013-04-24,0.0
2013-04-25,-1.4285999999999999
2013-04-26,-1.7391
2013-04-29,0.0
2013-04-30,-4.1298
2013-05-01,1.5385
2013-05-02,0.0
2013-05-03,6.0606
2013-05-07,-2.8571
2013-05-08,-6.4706
2013-05-09,5.3459
2013-05-10,-2.9851
2013-05-13,0.0
2013-05-14,-1.5385
2013-05-15,1.25
2013-05-16,-1.2346
2013-05-17,1.25
2013-05-20,-4.321
2013-05-21,-3.2258
2013-05-22,0.0
2013-05-23,3.3333
2013-05-24,-9.6774
2013-05-29,-0.7143
2013-05-31,4.3165
2013-06-03,-13.7931
2013-06-04,-12.0
2013-06-05,-18.1818
2013-06-06,22.2222
2013-06-07,11.3636
2013-06-10,-10.2041
2013-06-11,4.5455
2013-06-12,-6.087
2013-06-13,-5.0926
2013-06-14,-7.3171
2013-06-18,-11.0526
2013-06-19,-5.3254
2013-06-20,-18.75
2013-06-21,34.6154
2013-06-24,-2.8571
2013-06-25,3.5294
2013-06-26,13.6364
2013-06-27,-12.5
2013-06-28,0.0
2013-07-01,-2.8571
2013-07-02,-5.8824
2013-07-08,-6.25
2013-07-09,24.6667
2013-07-10,-0.5348
2013-07-11,-5.914
2013-07-15,0.0
2013-07-16,13.7143
2013-07-17,-5.0251
2013-07-18,0.0
2013-07-19,-4.7619
2013-07-22,0.0
2013-07-23,-16.6667
