ticker,PHR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-18,39.3333
2019-07-19,-4.3062000000000005
2019-07-22,-0.0833
2019-07-23,3.5863
2019-07-24,0.6441
2019-07-25,-0.8
2019-07-26,7.7016
2019-07-29,-1.6473
2019-07-30,3.8066
2019-07-31,0.22
2019-08-01,0.3293
2019-08-02,-2.0423
2019-08-05,-1.5636999999999999
2019-08-06,2.9123
2019-08-07,-1.323
2019-08-08,1.9367
2019-08-09,3.0691
2019-08-12,2.1978
2019-08-13,-0.5897
2019-08-14,-8.0949
2019-08-15,-4.1382
2019-08-16,5.6238
2019-08-19,0.7124
2019-08-20,-1.1541
2019-08-21,1.5819
2019-08-22,0.4449
2019-08-23,-2.8792999999999997
2019-08-26,-3.3447
2019-08-27,1.1404
2019-08-28,-2.7605
2019-08-29,7.7969
2019-08-30,-0.7047
2019-09-03,0.8965
2019-09-04,3.4061
2019-09-05,-3.7594
2019-09-06,-6.0268
2019-09-09,-10.886800000000001
2019-09-10,12.4833
2019-09-11,1.1453
2019-09-12,2.2647
2019-09-13,3.5128
2019-09-16,0.5164
2019-09-17,-0.367
2019-09-18,0.8471
2019-09-19,-1.3514
2019-09-20,0.9996
2019-09-23,3.4091
2019-09-24,-6.558
2019-09-25,2.4279
2019-09-26,-5.8889
2019-09-27,-1.6529
2019-09-30,-3.0012
2019-10-01,0.33
2019-10-02,-5.222
2019-10-03,2.3861
2019-10-04,4.7458
2019-10-07,5.7443
2019-10-08,-2.9074
2019-10-09,0.7092
2019-10-10,2.6604
2019-10-11,5.4116
2019-10-14,-2.6391999999999998
2019-10-15,0.4827
2019-10-16,3.1042
2019-10-17,2.509
2019-10-18,-1.9929999999999999
2019-10-21,-1.7125
2019-10-22,-1.5608
2019-10-23,-2.618
2019-10-24,1.9689999999999999
2019-10-25,-0.3342
2019-10-28,-0.2981
2019-10-29,3.3259
2019-10-30,1.0127
2019-10-31,6.0866
2019-11-01,0.945
2019-11-04,-1.237
2019-11-05,-1.5572
2019-11-06,2.6823
2019-11-07,0.3349
2019-11-08,-0.8678
2019-11-11,-3.8384
2019-11-12,0.6303
2019-11-13,4.1058
2019-11-14,-1.0361
2019-11-15,-0.1013
2019-11-18,-4.0568
2019-11-19,1.8675000000000002
2019-11-20,-0.8648
2019-11-21,0.7676
2019-11-22,0.2424
2019-11-25,1.0017
2019-11-26,0.4788
2019-11-27,-1.0892
2019-11-29,-3.2347
2019-12-02,0.569
2019-12-03,-0.5658
2019-12-04,1.138
