ticker,PSMT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.319
2000-01-04,-3.3386
2000-01-05,2.3026
2000-01-06,0.3215
2000-01-10,0.0
2000-01-11,0.0
2000-01-12,1.2821
2000-01-13,0.9494
2000-01-14,-2.5078
2000-01-18,0.3215
2000-01-19,0.0
2000-01-20,0.1603
2000-01-21,-0.16
2000-01-24,-1.2821
2000-01-25,0.0
2000-01-26,2.5974
2000-01-27,3.7975
2000-01-28,-1.8293
2000-01-31,0.0
2000-02-01,-2.4845
2000-02-02,-0.6369
2000-02-03,-1.2821
2000-02-04,0.0
2000-02-07,0.0
2000-02-08,3.8961
2000-02-09,0.0
2000-02-10,7.5
2000-02-11,-4.9419
2000-02-14,0.3058
2000-02-15,2.439
2000-02-16,-2.9762
2000-02-17,0.0
2000-02-18,-0.3067
2000-02-22,-0.3077
2000-02-23,1.2346
2000-02-24,-2.439
2000-02-25,0.625
2000-02-28,0.6211
2000-02-29,2.4691
2000-03-01,3.6145
2000-03-02,9.3023
2000-03-03,-0.6649
2000-03-06,0.6693
2000-03-07,-9.5745
2000-03-08,-3.5294
2000-03-09,2.2866
2000-03-10,-2.2355
2000-03-13,0.6098
2000-03-14,-0.303
2000-03-15,-2.1277
2000-03-16,-0.3106
2000-03-17,2.1807
2000-03-20,0.6098
2000-03-21,-2.7273
2000-03-22,2.1807
2000-03-23,-1.2195
2000-03-27,0.0
2000-03-28,2.1605
2000-03-29,-2.1148
2000-03-30,-1.2346
2000-03-31,2.1875
2000-04-03,-0.9174
2000-04-04,-7.4074
2000-04-05,6.0
2000-04-06,4.7956
2000-04-07,1.4254
2000-04-10,3.8462
2000-04-11,-2.5641
2000-04-12,-0.5848
2000-04-13,-3.5294
2000-04-14,-7.7744
2000-04-17,3.1405
2000-04-18,0.1603
2000-04-19,2.4
2000-04-20,0.0
2000-04-25,0.0
2000-04-26,-1.25
2000-04-27,2.5316
2000-05-01,-3.858
2000-05-02,1.1236
2000-05-03,-0.6349
2000-05-04,-2.8754
2000-05-05,-0.6579
2000-05-08,0.4967
2000-05-09,0.1647
2000-05-10,0.0
2000-05-11,0.0
2000-05-12,0.1645
2000-05-15,-0.1642
2000-05-17,0.0
2000-05-18,0.0
2000-05-19,0.9868
2000-05-22,-0.9772
2000-05-23,-2.3026
2000-05-24,1.0101
2000-05-25,-1.3333
2000-05-26,0.0
2000-05-30,-1.3514
2000-05-31,-2.911
2000-06-01,0.1764
2000-06-02,8.4507
2000-06-05,-1.2581
