ticker,EQBM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-06-23,1.4285999999999999
2004-07-07,2.1127
2004-07-26,2.069
2004-07-27,-8.7838
2004-07-28,1.4815
2004-08-12,-0.7299
2004-08-27,7.3529
2004-08-31,-2.7397
2004-09-27,2.1127
2005-01-25,-98.8966
2005-01-26,-3.125
2005-01-27,-3.2258
2005-01-28,9900.0
2005-02-01,-6.6667
2005-02-03,5.7143
2005-02-04,-5.4054
2005-02-09,4.2857
2005-02-10,-4.1096
2005-02-11,4.2857
2005-02-14,0.0
2005-02-15,0.0
2005-02-16,-1.3699
2005-02-18,0.0
2005-02-23,0.0
2005-03-02,-23.6111
2005-03-04,9.0909
2005-03-07,20.0
2005-03-08,-2.7778
2005-03-09,-14.2857
2005-03-10,-16.6667
2005-03-14,40.0
2005-03-16,-14.2857
2005-04-11,0.0
2005-04-13,0.0
2005-04-14,-16.6667
2005-04-15,0.0
2005-04-25,0.0
2005-04-27,0.0
2005-04-28,-20.0
2005-04-29,47.5
2005-05-02,-15.2542
2005-05-06,0.0
2005-05-12,-60.0
2005-05-16,150.0
2005-05-24,0.0
2005-05-25,-60.0
2005-06-01,150.0
2005-06-03,-10.0
2005-06-16,-55.5556
2005-06-29,50.0
2005-06-30,66.6667
2005-07-08,-40.0
2005-07-18,-83.3333
2005-07-19,400.0
2005-08-04,-40.0
2005-09-01,0.0
2005-09-22,-93.3333
2005-09-29,1800.0
2005-09-30,-60.5263
2005-10-10,100.0
2005-10-14,216.6667
2005-10-17,-73.6842
2005-10-18,-36.0
2005-10-20,-25.0
2005-10-21,-16.6667
2005-10-25,0.0
2005-10-31,45.0
2005-11-01,-0.6897
2005-11-02,36.1111
2005-11-03,-10.7143
2005-11-07,14.2857
2005-11-08,-10.5
2005-11-09,8.9385
2005-11-10,-17.9487
2005-11-11,-18.75
2005-11-15,0.0
2005-11-22,0.0
2005-11-29,7.6923
2005-11-30,-10.7143
2005-12-01,-4.0
2005-12-02,3.3333
2005-12-05,20.9677
2005-12-08,-9.3333
2005-12-09,25.0
2005-12-12,0.0
2005-12-13,-11.7647
2005-12-15,0.0
2005-12-16,0.0
2005-12-19,-6.6667
2005-12-20,3.5714
2005-12-21,-31.0345
2005-12-22,80.0
2005-12-23,0.0
2005-12-27,-5.5556
2005-12-29,-5.8824
2005-12-30,6.25
2006-01-03,-23.5294
2006-01-04,30.7692
2006-01-09,-5.8824
2006-01-10,0.0
2006-01-11,0.0
2006-01-12,0.0
2006-01-13,6.25
