ticker,PMT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-07-30,-4.5
2009-07-31,-1.5707
2009-08-03,1.0638
2009-08-04,0.5263
2009-08-05,-0.0524
2009-08-06,-0.3667
2009-08-07,0.2629
2009-08-10,0.3671
2009-08-11,0.0
2009-08-12,-0.2612
2009-08-13,2.3573
2009-08-14,-0.9724
2009-08-17,-1.5504
2009-08-18,0.3675
2009-08-19,-0.3661
2009-08-20,2.0466
2009-08-21,1.0809
2009-08-24,-0.0509
2009-08-25,-0.5092
2009-08-26,-0.6653
2009-08-27,1.185
2009-08-28,0.3564
2009-08-31,0.2029
2009-09-01,-1.5190000000000001
2009-09-02,-0.8226
2009-09-03,0.5702
2009-09-04,-0.3093
2009-09-08,1.3961000000000001
2009-09-09,0.0
2009-09-10,-0.408
2009-09-11,0.0512
2009-09-14,0.5118
2009-09-15,0.2037
2009-09-16,0.9146
2009-09-17,-0.0504
2009-09-18,0.5038
2009-09-21,-0.6516
2009-09-22,0.2523
2009-09-23,-0.6543
2009-09-24,-0.7599
2009-09-25,-2.0419
2009-09-28,0.938
2009-09-29,2.4264
2009-09-30,0.3528
2009-10-01,-1.2054
2009-10-02,-2.0844
2009-10-05,0.4673
2009-10-06,-0.6202
2009-10-07,0.052
2009-10-08,0.1559
2009-10-09,-0.1038
2009-10-12,-0.5195
2009-10-13,0.47
2009-10-14,-0.2599
2009-10-15,0.1563
2009-10-16,-0.6764
2009-10-19,0.6286
2009-10-20,-0.885
2009-10-21,-0.4202
2009-10-22,0.4219
2009-10-23,-0.8403
2009-10-26,-1.1123
2009-10-27,-0.9106
2009-10-28,0.6486
2009-10-29,1.1278
2009-10-30,-2.2305
2009-11-02,-0.3802
2009-11-03,-0.1636
2009-11-04,0.5461
2009-11-05,0.9234
2009-11-06,-4.1442
2009-11-09,-1.2913999999999999
2009-11-10,-2.7873
2009-11-11,-0.3511
2009-11-12,-0.7634
2009-11-13,0.8284
2009-11-16,4.1667
2009-11-17,-0.338
2009-11-18,0.2826
2009-11-19,-0.8455
2009-11-20,0.0569
2009-11-23,0.0
2009-11-24,-0.4545
2009-11-25,-0.1142
2009-11-27,-1.2
2009-11-30,2.487
2009-12-01,0.1693
2009-12-02,0.0
2009-12-03,-1.4085
2009-12-04,0.8571
2009-12-07,-0.4533
2009-12-08,-0.2846
2009-12-09,0.6279
2009-12-10,-1.021
2009-12-11,0.4011
2009-12-14,0.7991
2009-12-15,-0.453
2009-12-16,0.1138
2009-12-17,-0.2273
