ticker,WAFU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-30,-18.0
2019-05-01,12.9268
2019-05-02,-0.6479
2019-05-03,-1.9565000000000001
2019-05-06,-3.5477
2019-05-07,-9.1954
2019-05-08,1.2658
2019-05-09,-1.25
2019-05-10,-3.7975
2019-05-13,0.0
2019-05-14,2.1026
2019-05-15,0.5181
2019-05-16,2.3077
2019-05-17,-12.0301
2019-05-20,5.698
2019-05-21,-4.0431
2019-05-22,3.9326
2019-05-23,-18.9189
2019-05-24,8.0
2019-05-28,3.3951000000000002
2019-05-29,4.4776
2019-05-30,-18.2857
2019-05-31,24.1259
2019-06-03,-11.2676
2019-06-04,-15.2381
2019-06-05,12.3596
2019-06-06,2.6667
2019-06-07,-13.3117
2019-06-10,16.1011
2019-06-11,-11.2875
2019-06-12,3.2691
2019-06-13,-8.4475
2019-06-14,-5.7692
2019-06-17,5.7143
2019-06-18,15.8301
2019-06-19,-8.6667
2019-06-20,9.4891
2019-06-21,-9.6667
2019-06-24,5.1661
2019-06-25,-10.526299999999999
2019-06-26,15.6863
2019-06-27,-0.4339
2019-06-28,-0.2451
2019-07-01,6.4846
2019-07-02,-10.2564
2019-07-03,11.4286
2019-07-05,-2.2436
2019-07-08,7.8689
2019-07-09,3.9514
2019-07-10,-12.2807
2019-07-11,-0.3333
2019-07-12,7.0234
2019-07-15,-5.9375
2019-07-16,-0.3322
2019-07-17,2.0
2019-07-18,3.1373
2019-07-19,5.1965
2019-07-22,-5.9127
2019-07-23,0.5218
2019-07-24,-0.9554
2019-07-25,-2.2508
2019-07-26,-1.9737
2019-07-29,-2.349
2019-07-30,1.7147999999999999
2019-07-31,7.0948
2019-08-01,-5.3598
2019-08-02,-1.0
2019-08-05,4.2155
2019-08-06,0.1551
2019-08-07,-13.5484
2019-08-08,0.0
2019-08-09,-7.4627
2019-08-12,-3.6855
2019-08-13,-2.0347
2019-08-14,0.0
2019-08-15,-0.6325
2019-08-16,5.3673
2019-08-19,-8.5714
2019-08-20,8.8616
2019-08-21,-8.9604
2019-08-22,20.2703
2019-08-23,-7.4045
2019-08-26,9.3193
2019-08-27,3.5631
2019-08-28,-1.7506
2019-08-29,-3.6364
2019-08-30,6.4151
2019-09-03,0.7092
2019-09-04,-1.4085
2019-09-05,0.7143
2019-09-06,0.3688
2019-09-09,-0.3674
2019-09-10,4.6702
2019-09-11,15.1879
2019-09-12,4.7059
2019-09-13,14.887599999999999
2019-09-16,0.2934
2019-09-17,-2.4866
