ticker,GNZR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-07-16,1900.0
2008-07-31,-95.0
2008-08-22,0.0
2008-08-25,0.0
2008-09-05,0.0
2008-09-09,0.0
2008-10-06,-33.3333
2008-10-29,-30.0
2008-11-10,42.8571
2008-12-18,0.0
2009-02-09,-50.0
2009-02-10,-60.0
2009-02-13,-50.0
2009-02-18,0.0
2009-02-19,0.0
2009-02-24,-70.0
2009-02-25,66.6667
2009-02-26,0.0
2009-03-02,500.0
2009-03-03,50.0
2009-03-04,-33.3333
2009-03-05,-33.3333
2009-03-06,0.0
2009-03-09,-45.0
2009-03-10,63.6364
2009-03-11,0.0
2009-03-12,11.1111
2009-03-13,-5.0
2009-03-16,0.0
2009-03-17,0.0
2009-03-18,5.2632
2009-03-19,50.0
2009-03-20,-66.25
2009-03-23,18.5185
2009-03-24,-16.6667
2009-03-25,0.0
2009-03-26,0.0
2009-03-27,0.0
2009-03-30,20.0
2009-03-31,-16.6667
2009-04-01,0.0
2009-04-02,0.0
2009-04-03,-45.0
2009-04-06,-12.5
2009-04-07,-37.6623
2009-04-08,156.25
2009-04-09,2.439
2009-04-13,-2.3810000000000002
2009-04-14,0.0
2009-04-15,-28.4553
2009-04-16,-3.4091
2009-04-20,0.0
2009-04-21,31.7647
2009-04-22,0.0
2009-04-24,0.0
2009-04-27,0.0
2009-04-30,42.8571
2009-05-01,0.0
2009-05-05,0.0
2009-05-07,0.0
2009-05-12,-20.0
2009-05-13,-31.25
2009-05-15,263.6364
2009-05-18,-40.0
2009-05-19,208.3333
2009-05-20,-45.9459
2009-05-21,0.0
2009-05-22,35.0
2009-05-26,-40.7407
2009-05-27,-12.5
2009-05-28,-22.7679
2009-05-29,-7.5145
2009-06-01,0.0
2009-06-02,-40.0
2009-06-03,89.5833
2009-06-04,-12.0879
2009-06-05,-15.0
2009-06-08,17.647100000000002
2009-06-09,0.0
2009-06-10,0.0
2009-06-11,0.0
2009-06-12,50.0
2009-06-15,-33.3333
2009-06-16,0.0
2009-06-17,0.0
2009-06-19,0.0
2009-06-22,70.0
2009-06-23,41.1765
2009-06-24,-37.5
2009-06-25,6.6667
2009-06-26,18.75
2009-06-29,5.2632
2009-06-30,0.0
2009-07-01,-10.0
2009-07-02,22.2222
2009-07-07,-9.0909
2009-07-08,0.0
2009-07-09,-24.375
2009-07-10,0.0
2009-07-13,-20.6612
2009-07-14,4.1667
2009-07-15,20.0
2009-07-20,-10.0
2009-07-21,1.3889
2009-07-22,-7.3059
