ticker,LIQDQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-07-26,-15.1111
2013-07-29,2.4869
2013-07-30,-6.1303
2013-07-31,-4.0816
2013-08-01,5.6738
2013-08-02,-6.0403
2013-08-05,10.0
2013-08-06,-2.5974
2013-08-07,5.4667
2013-08-08,-5.8154
2013-08-09,0.6711
2013-08-12,3.6
2013-08-13,1.6731
2013-08-14,-1.2658
2013-08-15,0.3846
2013-08-16,9.7063
2013-08-19,-2.2119
2013-08-20,-1.3094999999999999
2013-08-21,-3.4981999999999998
2013-08-22,-3.75
2013-08-23,2.0779
2013-08-26,-1.0178
2013-08-27,-1.7995
2013-08-28,-3.1414
2013-08-29,1.3514
2013-09-03,-7.3333
2013-09-04,-3.5971
2013-09-05,8.209
2013-09-06,-10.7586
2013-09-09,14.0649
2013-09-10,-5.5556
2013-09-11,1.1478
2013-09-12,6.9504
2013-09-13,6.8966
2013-09-16,17.6179
2013-09-17,1.7932000000000001
2013-09-18,-6.114
2013-09-19,2.5385999999999997
2013-09-20,-8.1808
2013-09-23,-4.4549
2013-09-24,-9.6933
2013-09-25,0.7473
2013-09-26,-3.9784
2013-09-27,-0.2809
2013-09-30,-0.7042
2013-10-01,-10.4965
2013-10-02,6.1807
2013-10-03,4.6418
2013-10-04,11.9669
2013-10-07,-6.242
2013-10-08,-4.8913
2013-10-09,0.7143
2013-10-10,3.5461
2013-10-11,-1.2192
2013-10-14,0.5408
2013-10-15,-1.931
2013-10-16,-0.1406
2013-10-17,1.5493000000000001
2013-10-18,0.4161
2013-10-22,-1.6575
2013-10-23,1.264
2013-10-24,-1.387
2013-10-25,3.3755
2013-10-28,-1.9048
2013-10-29,0.4161
2013-10-30,1.3812
2013-10-31,-1.921
2013-11-01,9.0412
2013-11-04,-0.6354
2013-11-05,3.8462
2013-11-06,-1.1111
2013-11-07,0.1248
2013-11-08,7.1072
2013-11-11,-6.17
2013-11-12,0.7444
2013-11-13,5.5419
2013-11-14,-9.3349
2013-11-15,6.1776
2013-11-18,-0.9697
2013-11-19,1.3464
2013-11-20,-0.6039
2013-11-21,-0.1215
2013-11-22,-2.7981
2013-11-25,-1.627
2013-11-26,1.7812000000000001
2013-11-27,-2.5
2013-11-29,0.0321
2013-12-02,-0.5447
2013-12-03,2.8350999999999997
2013-12-04,-3.5088
2013-12-05,0.6494
2013-12-06,3.0968
2013-12-09,-2.2528
2013-12-10,-0.4481
2013-12-11,2.8939
2013-12-12,-6.125
2013-12-13,-2.3968
