ticker,TRHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-29,24.0
2016-09-30,-3.7634
2016-10-03,4.2598
2016-10-04,-2.8801
2016-10-05,-7.2414
2016-10-06,-2.7509
2016-10-07,-4.5872
2016-10-10,-0.9615
2016-10-11,2.4272
2016-10-12,2.3697
2016-10-13,-2.7778
2016-10-14,1.6667
2016-10-17,8.587
2016-10-18,0.1438
2016-10-19,-1.1486
2016-10-20,0.4357
2016-10-21,2.8923
2016-10-24,-5.8327
2016-10-25,0.0746
2016-10-26,-1.2677
2016-10-27,-4.8338
2016-10-28,-6.5873
2016-10-31,-1.0195
2016-11-01,-0.515
2016-11-02,-2.761
2016-11-03,-4.7028
2016-11-04,1.9553
2016-11-07,-1.3699
2016-11-08,1.7593
2016-11-09,3.4577
2016-11-10,4.1337
2016-11-11,1.3514
2016-11-14,-1.5833
2016-11-15,-2.6249000000000002
2016-11-16,-5.6522
2016-11-17,-0.553
2016-11-18,2.317
2016-11-21,7.8804
2016-11-22,5.2897
2016-11-23,0.4785
2016-11-25,-0.0794
2016-11-28,5.2423
2016-11-29,4.6038
2016-11-30,0.1443
2016-12-01,-6.3401
2016-12-02,-8.8462
2016-12-05,-0.6751
2016-12-06,-1.0195
2016-12-07,5.0644
2016-12-08,1.1438
2016-12-09,5.0889
2016-12-12,2.2291
2016-12-13,-0.0752
2016-12-14,2.5583
2016-12-15,0.807
2016-12-16,1.1645
2016-12-19,0.6475
2016-12-20,-0.2144
2016-12-21,-1.361
2016-12-22,-0.1452
2016-12-23,0.0
2016-12-27,2.6909
2016-12-28,-2.1246
2016-12-29,5.8611
2016-12-30,2.3923
2017-01-03,-0.4673
2017-01-04,-0.0671
2017-01-05,-0.604
2017-01-06,0.135
2017-01-09,-0.2697
2017-01-10,-0.2705
2017-01-11,2.4407
2017-01-12,-2.6473
2017-01-13,-1.0877
2017-01-17,-2.8866
2017-01-18,-2.8308999999999997
2017-01-19,0.2185
2017-01-20,1.8895
2017-01-23,-1.3552
2017-01-24,1.4461
2017-01-25,1.9243999999999999
2017-01-26,1.6084
2017-01-27,-1.7894
2017-01-30,-1.8921000000000001
2017-01-31,0.4286
2017-02-01,2.8449999999999998
2017-02-02,-0.2766
2017-02-03,11.9279
2017-02-06,-2.7260999999999997
2017-02-07,1.0828
2017-02-08,0.063
2017-02-09,-0.4408
2017-02-10,0.0633
2017-02-13,3.7295
2017-02-14,-2.8641
2017-02-15,-1.8820999999999999
2017-02-16,-0.8951
