ticker,SLRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-01-29,-6.5625
2015-01-30,-1.4047
2015-02-02,-3.5957
2015-02-03,-5.1372
2015-02-04,-5.4896
2015-02-05,0.6279
2015-02-06,2.7301
2015-02-09,3.0372
2015-02-10,0.2211
2015-02-11,3.2353
2015-02-12,0.2137
2015-02-13,-1.2793
2015-02-17,3.8157
2015-02-18,0.4161
2015-02-19,0.0691
2015-02-20,1.5183
2015-02-23,8.4296
2015-02-24,7.837
2015-02-25,-1.8605
2015-02-26,3.8507
2015-02-27,-0.8272
2015-03-02,2.2721
2015-03-03,10.7987
2015-03-04,-1.0152
2015-03-05,-5.1282
2015-03-06,-4.4865
2015-03-09,3.339
2015-03-10,-0.9858
2015-03-11,0.4425
2015-03-12,2.5881
2015-03-13,-1.2882
2015-03-16,17.6183
2015-03-17,6.1951
2015-03-18,-4.0923
2015-03-19,-9.4871
2015-03-20,1.0532
2015-03-23,1.34
2015-03-24,5.4358
2015-03-25,-6.8741
2015-03-26,1.995
2015-03-27,-1.2713999999999999
2015-03-30,-5.894
2015-03-31,3.1579
2015-04-01,1.1224
2015-04-02,7.0131
2015-04-06,2.0745
2015-04-07,-6.6975
2015-04-08,-2.2277
2015-04-09,0.9114
2015-04-10,-1.706
2015-04-13,-0.6636
2015-04-14,1.0277
2015-04-15,1.2716
2015-04-16,-2.3104
2015-04-17,4.6787
2015-04-20,9.725
2015-04-21,8.1916
2015-04-22,-5.5027
2015-04-23,0.3065
2015-04-24,-1.5276999999999998
2015-04-27,-11.4805
2015-04-28,-4.3565
2015-04-29,-6.2827
2015-04-30,-6.5922
2015-05-01,5.4426
2015-05-04,-1.2479
2015-05-05,-0.1149
2015-05-06,1.7826
2015-05-07,-2.5423999999999998
2015-05-08,1.913
2015-05-11,-2.5028
2015-05-12,-0.6418
2015-05-13,0.8221
2015-05-14,-1.1066
2015-05-15,1.119
2015-05-18,-1.0483
2015-05-19,0.1766
2015-05-20,0.5875
2015-05-21,2.3364
2015-05-22,3.0822
2015-05-26,-0.0554
2015-05-27,0.6094
2015-05-28,0.2203
2015-05-29,-1.9231
2015-06-01,4.2017
2015-06-02,-0.6452
2015-06-03,0.0
2015-06-04,-3.1926
2015-06-05,-0.6708
2015-06-08,0.2251
2015-06-09,1.516
2015-06-10,3.8717
2015-06-11,3.9404
2015-06-12,-0.3074
2015-06-15,-0.3083
2015-06-16,2.0619
2015-06-17,0.6061
2015-06-18,-0.3514
2015-06-19,-0.5038
