ticker,COMM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-25,-0.0667
2013-10-28,-0.7338
2013-10-29,2.4866
2013-10-30,1.1803
2013-10-31,-0.9721
2013-11-01,1.9634
2013-11-04,-1.8614000000000002
2013-11-05,-1.8313000000000001
2013-11-06,-0.0666
2013-11-07,-0.2
2013-11-08,2.004
2013-11-11,5.6974
2013-11-12,-2.4164
2013-11-13,0.4444
2013-11-14,-0.1264
2013-11-15,-0.0633
2013-11-18,-0.76
2013-11-19,-2.1059
2013-11-20,-1.369
2013-11-21,0.3305
2013-11-22,2.108
2013-11-25,-0.3871
2013-11-26,0.1295
2013-11-27,4.7219
2013-11-29,-0.6177
2013-12-02,4.0398
2013-12-03,1.3142
2013-12-04,0.3538
2013-12-05,-1.2338
2013-12-06,1.4277
2013-12-09,1.7595
2013-12-10,0.1153
2013-12-11,-0.0576
2013-12-12,-0.1728
2013-12-13,0.4039
2013-12-16,1.092
2013-12-17,0.5117
2013-12-18,0.6787
2013-12-19,-1.7416
2013-12-20,2.0011
2013-12-23,1.1771
2013-12-24,-0.1108
2013-12-26,0.3882
2013-12-27,0.9945
2013-12-30,1.0941
2013-12-31,2.4351
2014-01-02,-0.8452
2014-01-03,2.2376
2014-01-06,0.5732
2014-01-07,-1.399
2014-01-08,-0.2102
2014-01-09,-0.316
2014-01-10,-1.3735
2014-01-13,-1.714
2014-01-14,-2.1253
2014-01-15,2.6169000000000002
2014-01-16,1.3565
2014-01-17,-2.0343
2014-01-21,-0.2732
2014-01-22,0.6575
2014-01-23,-2.6673999999999998
2014-01-24,-0.3915
2014-01-27,-2.8074
2014-01-28,1.7330999999999999
2014-01-29,-1.5332
2014-01-30,0.9804
2014-01-31,2.3986
2014-02-03,0.3904
2014-02-04,1.4444
2014-02-05,1.3143
2014-02-06,-0.2162
2014-02-07,-1.3543
2014-02-10,2.0319
2014-02-11,1.6684999999999999
2014-02-12,-1.5352000000000001
2014-02-13,0.914
2014-02-14,0.2131
2014-02-18,1.1164
2014-02-19,-0.4206
2014-02-20,0.1584
2014-02-21,15.5509
2014-02-24,4.562
2014-02-25,0.349
2014-02-26,1.5652
2014-02-27,1.1558
2014-02-28,2.4968
2014-03-03,0.0826
2014-03-04,-0.4538
2014-03-05,-0.3315
2014-03-06,-2.3285
2014-03-07,-2.5117000000000003
2014-03-10,-0.8297
2014-03-11,-3.1704
2014-03-12,-3.0468
2014-03-13,2.955
2014-03-14,-1.1844999999999999
2014-03-17,-0.0461
