ticker,GASS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-10-06,-4.8276
2005-10-07,-0.7246
2005-10-10,-0.8759
2005-10-11,-0.0736
2005-10-12,-0.8106
2005-10-13,-4.9033999999999995
2005-10-14,1.875
2005-10-17,-0.6902
2005-10-18,-2.3166
2005-10-19,0.0
2005-10-20,-1.9763
2005-10-21,-1.2097
2005-10-24,0.0
2005-10-25,0.0
2005-10-26,5.3061
2005-10-27,0.7752
2005-10-28,0.2308
2005-10-31,0.5372
2005-11-01,0.3053
2005-11-02,-1.8265
2005-11-03,0.3876
2005-11-04,-0.2317
2005-11-07,0.1548
2005-11-08,-2.3957
2005-11-09,-2.5337
2005-11-10,-1.4622
2005-11-11,-2.3083
2005-11-14,-4.6414
2005-11-15,0.177
2005-11-16,1.1484
2005-11-17,0.8734
2005-11-18,-0.4329
2005-11-21,3.9130000000000003
2005-11-22,-2.0921
2005-11-23,0.4274
2005-11-25,-0.4255
2005-11-28,-1.6683
2005-11-29,1.262
2005-11-30,1.1159
2005-12-01,1.8676
2005-12-02,1.5833
2005-12-05,-0.082
2005-12-06,2.5452
2005-12-07,2.2418
2005-12-08,-2.1143
2005-12-09,-3.52
2005-12-12,-0.5804
2005-12-13,-1.5847
2005-12-14,1.6949
2005-12-15,0.0833
2005-12-16,-0.9159
2005-12-19,-0.2521
2005-12-20,2.1904
2005-12-21,0.9893
2005-12-22,-0.8163
2005-12-23,-1.3992
2005-12-27,-0.2504
2005-12-28,0.1674
2005-12-29,2.5063
2005-12-30,2.6895
2006-01-03,6.5873
2006-01-04,-1.3822
2006-01-05,-0.5616
2006-01-06,1.3667
2006-01-09,-0.4494
2006-01-10,-0.6772
2006-01-11,-0.8333
2006-01-12,0.7448
2006-01-13,0.3846
2006-01-17,0.0
2006-01-18,0.0
2006-01-19,-1.1494
2006-01-20,-0.9302
2006-01-23,-0.2347
2006-01-24,1.8824
2006-01-25,-0.3849
2006-01-26,0.4637
2006-01-27,0.0
2006-01-30,0.2308
2006-01-31,-0.2302
2006-02-01,-1.5385
2006-02-02,1.4062999999999999
2006-02-03,-1.3867
2006-02-06,-0.1563
2006-02-07,-0.2347
2006-02-08,-1.2549000000000001
2006-02-09,-2.224
2006-02-10,-0.4874
2006-02-13,-1.3061
2006-02-14,-1.5715
2006-02-15,-1.9327999999999999
2006-02-16,-3.1705
2006-02-17,0.0
2006-02-21,0.7965
2006-02-22,-1.6681
2006-02-23,1.9643000000000002
2006-02-24,4.641
2006-02-27,0.4184
