ticker,PFMT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-08-10,17.7778
2012-08-13,-4.1509
2012-08-14,0.4921
2012-08-15,3.0362
2012-08-16,-0.7605
2012-08-17,4.8850999999999996
2012-08-20,-3.1963
2012-08-21,-0.4717
2012-08-22,-3.128
2012-08-23,-0.9785
2012-08-24,1.9763
2012-08-27,0.7752
2012-08-28,5.2885
2012-08-29,-1.5525
2012-08-30,1.7625
2012-08-31,-1.0939
2012-09-04,0.6452
2012-09-05,1.9231
2012-09-06,1.3477000000000001
2012-09-07,-0.5319
2012-09-10,-1.7825
2012-09-11,2.3593
2012-09-12,2.305
2012-09-13,2.9463
2012-09-14,-1.3468
2012-09-17,-0.5119
2012-09-18,1.9726
2012-09-19,-3.7006
2012-09-20,-5.3275
2012-09-21,-0.738
2012-09-24,-8.2714
2012-09-25,1.925
2012-09-26,3.8767
2012-09-27,-0.7656
2012-09-28,3.4716
2012-10-01,2.0503
2012-10-02,-0.8219
2012-10-03,0.0921
2012-10-04,-0.276
2012-10-05,-0.5535
2012-10-08,-0.7421
2012-10-09,0.1869
2012-10-10,-1.0261
2012-10-11,-0.0943
2012-10-12,2.6414999999999997
2012-10-15,1.3787
2012-10-16,5.621
2012-10-17,0.8584
2012-10-18,-1.1064
2012-10-19,-2.1515
2012-10-22,-2.6385
2012-10-23,-5.6911000000000005
2012-10-24,-4.7893
2012-10-25,2.0121
2012-10-26,-1.7751000000000001
2012-10-31,-0.9036
2012-11-01,0.6079
2012-11-02,-2.719
2012-11-05,-1.6562999999999999
2012-11-06,8.4211
2012-11-07,-0.9709
2012-11-08,-6.1765
2012-11-09,0.9404
2012-11-12,-8.1781
2012-11-13,-4.7351
2012-11-14,-5.7988
2012-11-15,4.5226
2012-11-16,4.3269
2012-11-19,-1.4977
2012-11-20,-4.6784
2012-11-21,-0.1227
2012-11-23,-3.6855
2012-11-26,1.0204
2012-11-27,-0.6313
2012-11-28,12.3253
2012-11-29,9.0498
2012-11-30,0.2075
2012-12-03,0.8282
2012-12-04,-2.6694
2012-12-05,-4.5359
2012-12-06,-2.8729
2012-12-07,-3.413
2012-12-10,-1.1779
2012-12-11,3.5757
2012-12-12,-0.2301
2012-12-13,-0.346
2012-12-14,3.588
2012-12-17,1.1173
2012-12-18,1.6575
2012-12-19,0.6522
2012-12-20,2.5918
2012-12-21,4.7368
2012-12-24,-0.7035
2012-12-26,4.251
2012-12-27,-3.9806
2012-12-28,1.1122
2012-12-31,1.0
2013-01-02,3.5644
