ticker,MEG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-23,46.6667
2020-07-24,1.7727
2020-07-27,-2.8584
2020-07-28,-1.2414
2020-07-29,3.7244
2020-07-30,-0.2693
2020-07-31,-2.1152
