ticker,HEAR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-06,30.0
2010-10-07,15.3846
2010-10-08,20.0
2010-10-11,-2.7778
2010-10-12,-11.4286
2010-10-13,-3.2258
2010-10-14,0.0
2010-10-15,16.6667
2010-10-18,0.0
2010-10-19,-14.2857
2010-10-20,0.0
2010-10-21,16.6667
2010-10-22,0.0
2010-10-25,0.0
2010-10-26,28.5714
2010-10-27,-11.1111
2010-10-28,-12.5
2010-10-29,14.2857
2010-11-01,-10.0
2010-11-02,11.1111
2010-11-03,0.0
2010-11-04,0.0
2010-11-05,-10.0
2010-11-08,8.3333
2010-11-09,-10.2564
2010-11-10,0.0
2010-11-11,0.0
2010-11-12,0.0
2010-11-15,0.0
2010-11-16,0.0
2010-11-17,0.0
2010-11-18,-14.2857
2010-11-19,16.6667
2010-11-22,0.0
2010-11-23,0.0
2010-11-24,0.0
2010-11-26,0.0
2010-11-30,0.0
2010-12-01,-8.5714
2010-12-02,3.125
2010-12-03,-6.0606
2010-12-06,3.2258
2010-12-07,12.5
2010-12-08,-2.7778
2010-12-09,0.0
2010-12-10,0.0
2010-12-13,0.0
2010-12-14,-8.5714
2010-12-15,0.0391
2010-12-16,9.3323
2010-12-17,0.0
2010-12-20,-2.8571
2010-12-21,2.9412000000000003
2010-12-22,0.0
2010-12-23,8.5714
2010-12-27,-5.2632
2010-12-28,-5.5556
2010-12-29,-2.8493
2010-12-30,5.9603
2010-12-31,11.4286
2011-01-03,-2.5641
2011-01-04,0.0
2011-01-05,-1.8420999999999998
2011-01-06,-3.4853
2011-01-07,0.0
2011-01-10,2.7778
2011-01-11,0.0
2011-01-13,18.9189
2011-01-14,13.6364
2011-01-18,39.0
2011-01-19,-6.4748
2011-01-20,-1.5385
2011-01-21,-6.25
2011-01-24,0.0
2011-01-25,0.0
2011-01-26,-5.0
2011-01-27,1.7544
2011-01-28,0.0
2011-01-31,-0.1724
2011-02-01,-1.5544
2011-02-02,0.0
2011-02-03,-3.5088
2011-02-04,3.6364
2011-02-07,-3.5088
2011-02-08,14.5455
2011-02-09,11.1111
2011-02-10,0.0
2011-02-11,0.0
2011-02-14,0.0
2011-02-15,-1.4285999999999999
2011-02-16,-5.7971
2011-02-17,4.6154
2011-02-18,4.4118
2011-02-22,-1.4085
2011-02-23,0.0
2011-02-24,0.0
2011-02-25,0.0
2011-02-28,-7.1429
2011-03-01,1.5385
2011-03-02,13.6364
2011-03-03,-8.0
2011-03-04,-1.4493
2011-03-07,-8.8235
