ticker,MODN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-03-20,28.9032
2013-03-21,-3.8539
2013-03-22,-3.9563
2013-03-25,6.7751
2013-03-26,1.8274
2013-03-27,0.0997
2013-03-28,-1.2948
2013-04-01,1.4127
2013-04-02,-4.3284
2013-04-03,-0.728
2013-04-04,1.5191
2013-04-05,0.2064
2013-04-08,0.4119
2013-04-09,-1.1795
2013-04-10,1.972
2013-04-11,-0.7634
2013-04-12,5.3333
2013-04-15,-3.0185
2013-04-16,0.5522
2013-04-17,0.0
2013-04-18,0.699
2013-04-19,1.5865
2013-04-22,-3.0747
2013-04-23,0.0
2013-04-24,-1.0574
2013-04-25,0.458
2013-04-26,-0.9119
2013-04-29,1.227
2013-04-30,-0.101
2013-05-01,-1.8706
2013-05-02,1.0304
2013-05-03,1.4278
2013-05-06,-0.6536
2013-05-07,0.3543
2013-05-08,-4.5386
2013-05-09,1.6904
2013-05-10,-0.3117
2013-05-13,-0.2606
2013-05-14,-4.441
2013-05-15,-1.9136
2013-05-16,0.4459
2013-05-17,2.4972
2013-05-20,5.7932
2013-05-21,4.2477
2013-05-22,0.1473
2013-05-23,-3.2353
2013-05-24,2.6342
2013-05-28,-1.925
2013-05-29,1.8620999999999999
2013-05-30,-1.2352
2013-05-31,1.0505
2013-06-03,0.2475
2013-06-04,-0.1975
2013-06-05,-0.2969
2013-06-06,0.0496
2013-06-07,0.5952
2013-06-10,7.1006
2013-06-11,-4.3278
2013-06-12,-2.1174
2013-06-13,2.5564999999999998
2013-06-14,-3.4516
2013-06-17,3.3764
2013-06-18,1.4409
2013-06-19,2.4148
2013-06-20,0.1849
2013-06-21,1.246
2013-06-24,-0.3191
2013-06-25,0.7773
2013-06-26,0.726
2013-06-27,2.1622
2013-06-28,2.9981999999999998
2013-07-01,-1.2414
2013-07-02,-2.0373
2013-07-03,1.7257
2013-07-05,1.8704
2013-07-08,1.0675
2013-07-09,-0.845
2013-07-10,3.0677
2013-07-11,1.2402
2013-07-12,-1.6333
2013-07-15,2.2001
2013-07-16,-0.4062
2013-07-17,-4.2414
2013-07-18,-2.2998
2013-07-19,-0.8718
2013-07-22,2.4626
2013-07-23,0.8155
2013-07-24,0.7663
2013-07-25,1.9011
2013-07-26,1.2023
2013-07-29,0.1639
2013-07-30,-1.8814
2013-07-31,-1.709
2013-08-01,-0.4665
2013-08-02,-2.2156000000000002
2013-08-05,-0.915
2013-08-06,0.3958
2013-08-07,-4.5554
2013-08-08,4.268
