ticker,EACR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-01-10,233.3333
2012-01-11,18.0
2012-01-12,866.1017
2012-01-13,-75.4386
2012-01-17,-7.1429
2012-01-18,-7.8365
2012-01-19,-24.8826
2012-01-20,-5.5556
2012-01-23,-1.1764999999999999
2012-01-24,7.1429
2012-01-25,-0.1389
2012-01-26,-22.114
2012-01-27,42.8571
2012-01-30,-25.0
2012-01-31,46.6667
2012-02-01,-27.2727
2012-02-02,62.5
2012-02-03,-23.0769
2012-02-06,-20.0
2012-02-07,25.0
2012-02-08,0.0
2012-02-09,-10.0
2012-02-10,0.0
2012-02-14,11.1111
2012-02-15,-11.0
2012-02-16,-1.1236
2012-02-17,-20.3125
2012-02-21,24.0642
2012-02-22,14.9425
2012-02-23,-20.0
2012-02-24,25.0
2012-02-27,0.0
2012-02-28,-17.0
2012-02-29,-3.6145
2012-03-01,0.0
2012-03-02,0.0
2012-03-05,12.5
2012-03-06,5.5556
2012-03-07,0.0
2012-03-08,-10.526299999999999
2012-03-09,11.7647
2012-03-13,0.0
2012-03-14,5.2632
2012-03-15,0.0
2012-03-19,0.0
2012-03-20,-15.0
2012-03-21,4.7059
2012-03-22,-16.8539
2012-03-23,-9.4595
2012-03-26,-19.403
2012-03-27,-16.6667
2012-03-28,-6.6667
2012-03-29,4.7619
2012-03-30,13.6364
2012-04-02,0.0
2012-04-03,-8.0
2012-04-04,8.6957
2012-04-05,-14.0
2012-04-09,6.9767
2012-04-11,19.5652
2012-04-12,-9.0909
2012-04-16,-10.0
2012-04-17,-20.0
2012-04-23,-2.7778
2012-04-27,14.2857
2012-04-30,0.0
2012-05-01,11.25
2012-05-07,-10.1124
2012-05-08,0.0
2012-05-09,-5.0
2012-05-11,-21.0526
2012-05-14,-6.6667
2012-05-15,7.1429
2012-05-17,-3.3333
2012-05-18,0.0
2012-05-24,3.4483
2012-05-29,33.3333
2012-05-30,-2.5
2012-06-05,-48.7179
2012-06-06,-10.0
2012-06-07,66.6667
2012-06-13,-23.3333
2012-06-14,0.0
2012-06-18,0.0
2012-06-19,0.0
2012-06-26,-4.3478
2012-06-28,9.0909
2012-06-29,0.0
2012-07-02,-6.25
2012-07-09,-15.5556
2012-07-12,15.7895
2012-07-17,-13.6364
2012-07-18,15.7895
2012-07-20,-13.6364
2012-07-26,15.7895
2012-07-31,2.2727
2012-08-06,0.0
2012-08-13,6.6667
2012-08-27,-4.1667
2012-08-31,-13.0435
2012-09-04,0.0
2012-09-06,0.0
