ticker,BCTF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-05-22,2.5
2000-05-26,-2.439
2000-05-30,1.25
2000-06-05,-1.2346
2000-06-08,2.5
2000-06-14,0.0
2000-06-15,1.2195
2000-06-16,0.0
2000-06-28,2.4096
2000-07-03,-1.7647
2000-07-06,1.7964
2000-07-10,-2.3529
2000-07-19,3.6145
2000-07-20,2.3256
2000-07-24,-1.7045
2000-07-25,-0.289
2000-07-31,2.029
2000-08-02,-5.6818
2000-08-16,4.8193
2000-08-18,-2.2989
2000-08-21,2.3529
2000-08-23,0.0
2000-08-25,1.1494
2000-08-30,4.5455
2000-09-12,-0.5435
2000-09-19,0.0
2000-09-20,1.6393
2000-09-21,1.0753
2000-10-09,0.1702
2000-10-10,0.8921
2000-10-13,-0.5263
2000-10-16,-0.5291
2000-10-17,0.0
2000-10-31,-0.5319
2000-11-14,2.6738
2000-11-20,-1.0417
2000-11-30,-1.5789
2000-12-06,2.6738
2000-12-07,0.0
2000-12-08,4.1667
2000-12-20,0.0
2001-02-20,9.135
2001-02-21,0.9259
2001-03-09,24.7706
2001-03-13,2.9412000000000003
2001-03-14,0.0
2001-03-16,0.0
2001-03-23,-2.8571
2001-05-01,1.0101
2001-05-07,17.647100000000002
2001-05-08,-2.5
2001-05-15,2.5641
2001-05-21,-6.25
2001-05-22,-1.3333
2001-05-24,0.0
2001-06-26,0.0
2001-07-26,6.9285
2001-07-27,-0.5102
2001-08-06,5.1282
2001-08-17,0.0
2001-08-20,0.0
2001-08-21,-1.2195
2001-08-22,3.7037
2001-08-29,-4.7619
2001-09-05,-1.25
2001-09-07,2.5316
2001-09-10,-0.5926
2001-09-17,-1.391
2001-09-21,0.7557
2001-09-24,-1.0
2001-09-28,-1.0101
2001-10-03,2.2959
2001-10-10,-0.2494
2001-10-17,0.0
2001-10-22,-0.5
2001-10-23,-2.0101
2001-10-24,-7.6923
2001-10-25,11.3889
2001-11-01,-9.5477
2001-11-07,22.2222
2001-11-08,9.0909
2001-11-09,3.125
2001-11-13,-9.0909
2001-11-21,3.7778
2002-01-02,-5.7816
2002-01-03,0.0
2002-01-04,-9.0909
2002-01-07,2.5
2002-01-11,9.7561
2002-01-23,2.9083
2002-01-25,3.9130000000000003
2002-01-29,0.8368
2002-02-01,3.7344
2002-02-20,2.0
2002-02-28,-1.9607999999999999
2002-03-01,0.0
2002-03-05,0.0
2002-03-11,-4.0
2002-03-14,0.0
2002-03-15,0.0
2002-03-18,4.1667
2002-03-19,2.0
