ticker,MRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-04-12,0.1905
2012-04-13,-1.1407
2012-04-16,-0.7212
2012-04-17,-0.1937
2012-04-18,-0.5337
2012-04-19,0.0488
2012-04-20,0.7801
2012-04-23,-0.8224
2012-04-24,0.0488
2012-04-25,-1.2677
2012-04-26,-0.7901
2012-04-27,-1.2942
2012-04-30,-1.1599
2012-05-01,3.6734999999999998
2012-05-02,0.3445
2012-05-03,1.6183999999999998
2012-05-04,0.8687
2012-05-07,0.7177
2012-05-08,-0.9501
2012-05-09,-2.2062
2012-05-10,1.6183999999999998
2012-05-11,0.6757
2012-05-14,-0.9588
2012-05-15,-0.0484
2012-05-16,-0.7264
2012-05-17,-1.9512
2012-05-18,-0.0498
2012-05-21,0.7964
2012-05-22,1.037
2012-05-23,0.1466
2012-05-24,-0.1464
2012-05-25,-0.1466
2012-05-29,1.8111000000000002
2012-05-30,-1.0577
2012-05-31,0.8746
2012-06-01,-5.5395
2012-06-04,0.6119
2012-06-05,2.1287
2012-06-06,0.9926
2012-06-07,2.3096
2012-06-08,0.1441
2012-06-11,-1.5348000000000002
2012-06-12,0.6332
2012-06-13,0.1452
2012-06-14,0.0967
2012-06-15,1.4485999999999999
2012-06-18,0.0476
2012-06-19,1.8554
2012-06-20,-1.1677
2012-06-21,-4.3951
2012-06-22,-1.2358
2012-06-25,0.2002
2012-06-26,3.4965
2012-06-27,2.751
2012-06-28,-1.0333
2012-06-29,0.9967
2012-07-02,1.3628
2012-07-03,-0.6954
2012-07-05,0.6069
2012-07-06,1.0673
2012-07-09,-1.5152
2012-07-10,-2.2378
2012-07-11,-2.3367
2012-07-12,1.1719
2012-07-13,2.4614
2012-07-16,1.4131
2012-07-17,1.7185000000000001
2012-07-18,-0.8219
2012-07-19,3.6832000000000003
2012-07-20,2.9307
2012-07-23,-1.8119
2012-07-24,-0.8348
2012-07-25,1.2849
2012-07-26,2.6684
2012-07-27,0.4261
2012-07-30,0.1697
2012-07-31,-2.1177
2012-08-01,-2.9424
2012-08-02,-0.3567
2012-08-03,5.1454
2012-08-06,1.1915
2012-08-07,0.4626
2012-08-08,-1.8418
2012-08-09,-1.8763
2012-08-10,-1.608
2012-08-13,-0.4859
2012-08-14,-1.2872
2012-08-15,0.045
2012-08-16,-0.7191
2012-08-17,2.6709
2012-08-20,-2.6014
2012-08-21,0.679
2012-08-22,-1.5288
2012-08-23,0.6849
2012-08-24,0.4989
2012-08-27,-0.722
2012-08-28,1.6818
