ticker,ADMS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-10,-12.4375
2014-04-11,-7.2091
2014-04-14,4.6154
2014-04-15,-1.5441
2014-04-16,-1.419
2014-04-17,-1.4394
2014-04-21,8.6856
2014-04-22,7.8501
2014-04-23,-1.5737999999999999
2014-04-24,6.4624
2014-04-25,-1.8148
2014-04-28,1.5934
2014-04-29,0.3764
2014-04-30,15.3125
2014-05-01,8.7805
2014-05-02,-0.299
2014-05-05,-0.05
2014-05-06,0.0
2014-05-07,-0.2
2014-05-08,-2.9558999999999997
2014-05-09,-0.7228
2014-05-12,-0.416
2014-05-13,1.8277
2014-05-14,-0.6667
2014-05-15,-2.1683
2014-05-16,-1.0026
2014-05-19,-2.6652
2014-05-20,3.3954
2014-05-21,-0.3178
2014-05-22,-0.3188
2014-05-23,-1.4392
2014-05-27,0.0541
2014-05-28,-1.8378
2014-05-29,-0.5507
2014-05-30,-1.1628
2014-06-02,0.112
2014-06-03,0.5596
2014-06-04,-2.2259
2014-06-05,4.0979
2014-06-06,2.9524
2014-06-09,2.7616
2014-06-10,0.6202
2014-06-11,-0.7704
2014-06-12,1.7081
2014-06-13,-4.7328
2014-06-16,0.8013
2014-06-17,3.3386
2014-06-18,0.4615
2014-06-19,-0.5615
2014-06-20,-1.3860000000000001
2014-06-23,0.5206
2014-06-24,0.5697
2014-06-25,-0.0515
2014-06-26,-3.9154999999999998
2014-06-27,-5.0402
2014-06-30,3.2185
2014-07-01,0.9847
2014-07-02,-0.5417
2014-07-03,-2.1242
2014-07-07,-3.7284
2014-07-08,-1.6185
2014-07-09,-1.9388999999999998
2014-07-10,-3.6549
2014-07-11,3.9801
2014-07-14,-3.11
2014-07-15,7.037
2014-07-16,-2.7105
2014-07-17,-0.5335
2014-07-18,4.41
2014-07-21,-5.8219
2014-07-22,0.9697
2014-07-23,0.6603
2014-07-24,0.8945
2014-07-25,-1.5957
2014-07-28,-2.6426
2014-07-29,-0.7403
2014-07-30,-0.1243
2014-07-31,-0.9956
2014-08-01,1.1314
2014-08-04,-0.4351
2014-08-05,0.437
2014-08-06,0.6215
2014-08-07,-2.9648
2014-08-08,-0.8912
2014-08-11,3.4682
2014-08-12,2.3588
2014-08-13,1.8193000000000001
2014-08-14,0.0596
2014-08-15,3.8689999999999998
2014-08-18,0.8023
2014-08-19,2.1035
2014-08-20,-0.167
2014-08-21,2.454
2014-08-22,-2.9396
2014-08-25,-0.3365
2014-08-26,2.4198
2014-08-27,-0.0549
