ticker,GRNVU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-11-19,0.3
2019-11-20,0.1994
2019-11-21,-0.199
2019-11-22,0.2991
2019-11-25,-0.0994
2019-11-26,0.0995
2019-11-27,-0.0994
2019-12-02,0.0
2019-12-03,-0.199
2019-12-04,0.8973
2019-12-05,-0.2964
2019-12-06,0.0991
2019-12-09,-0.0495
2019-12-10,-0.0991
2019-12-11,-0.0496
2019-12-12,0.1974
2019-12-13,0.001
2019-12-16,-0.099
2019-12-17,-0.2973
2019-12-18,-0.0994
2019-12-19,0.4975
2019-12-24,0.0
2019-12-26,0.0
2019-12-27,0.0
2019-12-30,0.0
2019-12-31,-0.099
2020-01-02,0.0991
2020-01-06,0.6931
2020-01-07,-0.1967
2020-01-08,-0.0985
2020-01-10,0.0986
2020-01-13,0.4916
2020-01-15,-0.7833
2020-01-16,0.0
2020-01-23,0.0
2020-02-07,2.2727
2020-02-10,-0.4831
2020-02-11,-0.2913
2020-02-12,0.3895
2020-02-18,0.0
2020-02-20,0.1959
2020-02-21,-0.2923
2020-02-25,0.0
2020-02-28,0.8738
2020-03-12,-0.8662
2020-03-16,-0.4854
2020-03-17,0.4878
2020-03-20,-3.3981
2020-04-06,0.5025
2020-04-16,1.0
2020-04-28,0.0
2020-05-18,0.198
2020-05-20,0.1976
2020-05-21,0.0986
2020-06-10,0.9852
2020-06-11,0.0
2020-06-19,1.9512
2020-06-29,0.0
2020-06-30,-0.9569
2020-07-10,-1.256
2020-07-13,4.6967
2020-07-14,0.0
2020-07-16,0.0
2020-07-17,0.0
2020-07-22,0.0
2020-07-23,-0.1869
2020-07-24,-0.8427
