ticker,CBMG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-05,-44.0
2007-06-06,42.8571
2007-06-07,-10.0
2007-06-08,-22.2222
2007-06-11,-14.2857
2007-06-12,-16.6667
2007-06-13,-30.0
2007-06-14,21.4286
2007-06-15,-17.647100000000002
2007-06-18,-14.2857
2007-06-19,25.0
2007-06-20,6.6667
2007-06-21,12.5
2007-06-22,0.0
2007-06-25,-11.1111
2007-06-26,0.0
2007-06-27,0.0
2007-06-28,-12.5
2007-06-29,4.2857
2007-07-02,2.7397
2007-07-03,6.6667
2007-07-05,-6.25
2007-07-06,-13.3333
2007-07-09,0.0
2007-07-10,0.0
2007-07-11,38.4615
2007-07-12,-11.1111
2007-07-13,0.0
2007-07-16,0.0
2007-07-17,-8.75
2007-07-18,2.7397
2007-07-19,-6.6667
2007-07-20,14.2857
2007-07-23,-6.25
2007-07-24,-6.6667
2007-07-25,0.0
2007-07-26,0.0
2007-07-27,7.1429
2007-07-30,0.0
2007-07-31,33.3333
2007-08-01,3.0
2007-08-02,142.7184
2007-08-03,-12.0
2007-08-06,-31.8182
2007-08-07,6.6667
2007-08-08,25.0
2007-08-09,-7.5
2007-08-10,-2.7027
2007-08-13,0.0
2007-08-14,-16.6667
2007-08-15,0.0
2007-08-16,-13.3333
2007-08-17,0.0
2007-08-20,38.4615
2007-08-21,-11.1111
2007-08-22,-12.5
2007-08-23,0.0
2007-08-24,-10.7143
2007-08-27,12.0
2007-08-28,-7.1429
2007-08-29,0.0
2007-08-30,0.0
2007-08-31,-7.6923
2007-09-04,0.0
2007-09-05,0.0
2007-09-06,0.0
2007-09-07,0.0
2007-09-10,-8.3333
2007-09-11,0.0
2007-09-12,-2.2727
2007-09-13,-6.9767
2007-09-14,-5.0
2007-09-17,-2.1053
2007-09-18,7.5269
2007-09-19,0.0
2007-09-20,-10.0
2007-09-21,0.0
2007-09-24,-11.1111
2007-09-25,0.0
2007-09-26,0.0
2007-09-27,0.0
2007-09-28,6.25
2007-10-01,-5.8824
2007-10-02,-12.5
2007-10-03,-1.4285999999999999
2007-10-04,23.1884
2007-10-05,-4.7059
2007-10-08,60.4938
2007-10-09,-26.9231
2007-10-10,5.2632
2007-10-11,-10.0
2007-10-12,-5.5556
2007-10-15,-4.7059
2007-10-16,1.2346
2007-10-17,-2.439
2007-10-18,25.0
2007-10-19,-5.0
2007-10-22,-5.2632
2007-10-23,11.1111
2007-10-24,0.0
2007-10-25,-5.0
2007-10-26,15.7895
