ticker,MRAM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-10-07,0.25
2016-10-10,-0.2494
2016-10-11,-6.25
2016-10-12,0.0
2016-10-13,-9.6
2016-10-14,-4.1298
2016-10-17,2.9231
2016-10-18,-1.0463
2016-10-19,-0.9063
2016-10-20,0.7622
2016-10-21,-1.6641
2016-10-24,-0.6154
2016-10-25,-2.0124
2016-10-26,16.2717
2016-10-27,1.9022000000000001
2016-10-28,-9.0667
2016-10-31,-2.346
2016-11-01,8.8589
2016-11-02,-3.7241
2016-11-03,-5.5874
2016-11-04,4.2489
2016-11-07,-0.4367
2016-11-08,2.924
2016-11-09,-1.7045
2016-11-10,1.5896
2016-11-11,-3.2717
2016-11-14,1.9118
2016-11-15,-0.2886
2016-11-16,0.7236
2016-11-17,-1.4368
2016-11-18,4.9563
2016-11-21,0.2778
2016-11-22,0.1385
2016-11-23,-2.213
2016-11-25,3.1117
2016-11-28,-0.823
2016-11-29,1.3831
2016-11-30,0.1364
2016-12-01,2.1798
2016-12-02,-1.7332999999999998
2016-12-05,0.2714
2016-12-06,-1.2179
2016-12-07,0.6849
2016-12-08,0.0
2016-12-09,-0.1361
2016-12-12,1.3624
2016-12-13,0.0
2016-12-14,-2.5538
2016-12-15,-1.1034
2016-12-16,-7.5314
2016-12-19,4.2232
2016-12-20,2.6048999999999998
2016-12-21,-0.2821
2016-12-22,3.9604
2016-12-23,-0.2721
2016-12-27,-0.5457
2016-12-28,-0.1372
2016-12-29,1.3736
2016-12-30,12.3306
2017-01-03,-7.9614
2017-01-04,-0.2621
2017-01-05,-0.3942
2017-01-06,1.0554
2017-01-09,4.437
2017-01-10,-2.811
2017-01-11,8.1672
2017-01-12,-4.5184
2017-01-13,0.2491
2017-01-17,0.7453
2017-01-18,1.8496000000000001
2017-01-19,-0.2421
2017-01-20,0.9709
2017-01-23,-0.8413
2017-01-24,-2.6667
2017-01-25,1.8679999999999999
2017-01-26,0.978
2017-01-27,-0.2421
2017-01-30,0.0
2017-01-31,-1.5777
2017-02-01,-1.4797
2017-02-02,-0.2503
2017-02-03,1.0038
2017-02-06,-0.4969
2017-02-07,-0.1248
2017-02-08,-1.0
2017-02-09,-0.8838
2017-02-10,1.7833999999999999
2017-02-13,-0.5006
2017-02-14,9.434
2017-02-15,4.4828
2017-02-16,-0.5501
2017-02-17,3.208
2017-02-21,7.074
2017-02-22,1.4014
2017-02-23,-2.1718
2017-02-24,2.4218
2017-02-27,-2.7586
2017-02-28,1.6211
