ticker,BEMG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-10-06,10.0
2009-11-18,-9.0909
2010-01-06,0.0
2010-03-30,100.0
2010-04-01,25.0
2010-04-09,0.0
2010-04-15,0.0
2010-04-16,20.0
2010-04-19,0.0
2010-04-21,-16.6667
2010-04-27,20.0
2010-05-17,70.0
2010-05-20,-50.9804
2010-07-07,-24.0
2010-07-19,5.1974
2010-08-06,0.0625
2010-08-31,0.0
2010-09-03,0.0
2010-09-13,0.0
2010-09-14,25.0
2010-09-15,-60.0
2010-10-07,150.0
2010-11-09,-40.0
2010-12-29,0.0
2011-03-24,393.3333
2011-03-25,-32.4324
2011-05-12,-70.0
2011-06-03,-33.3333
2011-06-06,0.0
2011-06-07,-20.0
2011-06-09,0.0
2011-06-10,537.5
2011-06-23,-80.3922
2011-11-11,-50.0
2012-01-10,-65.75
2012-01-26,250.365
2012-02-02,0.0
2012-02-28,-50.0
2012-02-29,0.0
2012-03-08,0.0
2012-03-22,1913.3333
2012-04-17,-97.351
2012-05-08,0.0
2012-10-12,1087.5
2012-10-18,0.0
2012-10-26,-21.0526
2012-11-06,0.0
2012-12-14,0.0
2012-12-27,0.0
2012-12-31,0.0
2013-01-07,0.0
2013-01-10,0.0
2013-01-11,0.0
2013-01-15,0.0
2013-01-16,33.3333
2013-01-17,75.0
2013-01-18,-42.8571
2013-01-22,25.0
2013-01-23,-20.0
2013-01-24,0.0
2013-01-25,50.0
2013-01-29,-16.6667
2013-01-31,-40.0
2013-02-01,20.0
2013-02-08,-16.6667
2013-02-14,-18.5417
2013-02-15,0.0
2013-02-20,22.7621
2013-02-25,-0.7917
2013-02-27,74.7165
2013-02-28,-3.8462
2013-03-07,-20.0
2013-03-19,-10.0
2013-03-21,0.0
2013-03-22,0.0
2013-03-26,-16.6667
2013-03-27,-13.3333
2013-04-15,0.0
2013-04-24,-7.6923
2013-05-06,-8.3333
2013-05-13,0.0
2013-06-18,-9.0909
2013-08-13,0.0
2013-10-09,0.0
2013-10-23,-20.0
2013-11-01,25.0
2013-11-05,80.0
2013-11-14,0.0
2013-12-05,11.1111
2014-03-24,80.0
2014-03-25,108.3333
2014-04-07,-60.0
2014-06-13,0.0
2014-06-16,0.0
2014-07-30,233.3333
2014-08-20,-65.0
2014-08-27,-14.2857
2014-08-28,0.0
2014-10-16,0.0
2014-10-20,0.0
2014-11-12,0.0
2014-11-18,0.0
2014-11-19,-16.6667
2014-11-21,0.0
2014-11-24,0.0
2014-11-26,0.0
