ticker,KVMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-30,22.2494
2017-12-01,36.3636
2017-12-04,-20.0
2017-12-05,8.3333
2017-12-06,0.9231
2017-12-08,29.5732
2017-12-12,5.8824
2017-12-13,0.0
2017-12-14,1.1111
2017-12-15,9.8901
2017-12-18,0.0
2017-12-19,7.0
2017-12-20,2.8037
2017-12-21,7.7273
2017-12-22,-7.173
2017-12-26,-4.5455
2017-12-27,9.5238
2017-12-28,-0.8696
2017-12-29,0.8772
2018-01-02,4.3478
2018-01-03,-7.5
2018-01-04,0.0
2018-01-05,1.8018
2018-01-08,6.1947
2018-01-09,9.1667
2018-01-10,6.0305
2018-01-11,-5.6875
2018-01-12,-4.5802
2018-01-16,-4.0
2018-01-17,4.1667
2018-01-18,8.0
2018-01-19,-17.037
2018-01-22,11.607099999999999
2018-01-23,2.4
2018-01-24,-6.25
2018-01-25,-1.6667
2018-01-26,0.0
2018-01-29,4.2373
2018-01-30,-4.065
2018-01-31,0.8475
2018-02-01,-3.3613
2018-02-02,0.0
2018-02-05,-2.6087
2018-02-06,-6.25
2018-02-07,5.7143
2018-02-08,-5.3964
2018-02-09,9.5134
2018-02-12,0.0
2018-02-13,7.8261
2018-02-14,-5.8225999999999996
2018-02-16,2.7573
2018-02-20,3.3333
2018-02-21,0.0
2018-02-22,0.0
2018-02-23,-3.2258
2018-02-26,0.0
2018-02-27,-10.8333
2018-02-28,12.1495
2018-03-05,-8.3333
2018-03-06,0.0
2018-03-07,0.0
2018-03-08,10.0091
2018-03-09,-2.4874
2018-03-12,27.1186
2018-03-13,4.6667
2018-03-14,5.0955
2018-03-15,3.0303
2018-03-16,-8.8235
2018-03-19,3.0645
2018-04-04,-84.3505
2018-04-05,-75.6
2018-04-06,-18.0328
2018-04-09,20.0
2018-04-12,0.0
2018-05-01,0.0
2018-05-02,-83.3333
2018-05-03,-99.0
2018-05-04,0.0
2018-05-07,9900.0
2018-05-17,500.0
2018-05-18,83.3333
2018-05-29,-54.5455
2018-06-18,-50.0
2018-06-19,0.0
2018-06-26,0.0
2018-07-19,20.0
2018-07-20,-99.6667
2018-08-08,0.0
2018-09-04,0.0
2018-09-19,0.0
2018-10-16,0.0
2018-11-08,0.0
2018-12-03,100.0
2018-12-10,-50.0
2018-12-18,0.0
2019-01-09,0.0
2019-02-01,0.0
2019-04-01,-90.0
2019-04-02,0.0
2019-05-14,900.0
2019-08-08,9900.0
2019-12-05,-99.0
2020-02-12,100.0
2020-03-23,-50.0
2020-05-27,100.0
2020-06-02,0.0
2020-07-20,-99.5
