ticker,WSG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-26,-35.5
2019-07-29,-2.907
2019-07-30,-1.1976
2019-07-31,-0.6061
2019-08-01,-4.878
2019-08-02,-10.2564
2019-08-05,-5.0
2019-08-06,4.5113
2019-08-07,-4.3165
2019-08-08,-3.0075
2019-08-09,1.8088
2019-08-12,-0.2538
2019-08-13,-1.0178
2019-08-14,-5.9126
2019-08-15,-1.9125999999999999
2019-08-16,-0.2786
2019-08-19,7.5419
2019-08-20,1.8182
2019-08-21,13.2653
2019-08-22,12.3874
2019-08-23,4.008
2019-08-26,3.0829
2019-08-27,0.1869
2019-08-28,-2.4254
2019-08-29,-0.1912
2019-08-30,0.3831
2019-09-03,-6.2977
2019-09-04,-0.2037
2019-09-05,-1.2245
2019-09-06,-3.3058
2019-09-09,-0.4274
2019-09-10,-0.8584
2019-09-11,1.9481000000000002
2019-09-12,0.2123
2019-09-13,0.0
2019-09-16,-0.6356
2019-09-17,-1.4925
2019-09-18,-2.1645
2019-09-19,-0.885
2019-09-20,0.6696
2019-09-23,-2.2173
2019-09-24,-4.3084
2019-09-25,2.3697
2019-09-26,-0.6944
2019-09-27,-4.662
2019-09-30,-0.978
2019-10-01,-0.7407
2019-10-02,-1.4925
2019-10-03,0.7576
2019-10-04,0.5013
2019-10-07,0.2494
2019-10-08,-0.995
2019-10-09,-0.2513
2019-10-10,-1.7631999999999999
2019-10-11,0.0
2019-10-14,-0.5128
2019-10-15,0.5155
2019-10-16,-1.2821
2019-10-17,-2.0779
2019-10-18,-1.3263
2019-10-21,-8.0645
2019-10-22,4.0936
2019-10-23,-0.5618
2019-10-24,-0.565
2019-10-25,0.2841
2019-10-28,2.8329
2019-10-29,-0.8264
2019-10-30,0.2778
2019-10-31,-0.831
2019-11-01,-0.2793
2019-11-04,-0.8403
2019-11-05,-1.4123999999999999
2019-11-06,1.7191999999999998
2019-11-07,0.5634
2019-11-08,0.8403
2019-11-11,-3.6111
2019-11-12,0.5764
2019-11-13,0.2865
2019-11-14,-3.4286
2019-11-15,-4.142
2019-11-18,-14.1975
2019-11-19,-1.0791
2019-11-20,-5.0909
2019-11-21,-0.4866
2019-11-22,5.8792
2019-11-25,4.3636
2019-11-26,10.8014
2019-11-27,0.6289
2019-11-29,-3.125
2019-12-02,-0.6452
2019-12-03,-2.9221
2019-12-04,1.3378
2019-12-05,-2.9703
2019-12-06,0.3401
2019-12-09,-3.3898
2019-12-10,-0.3509
2019-12-11,-0.3521
