ticker,CEOS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-15,22.9508
2006-02-16,10.9333
2006-02-17,12.2596
2006-02-21,23.3405
2006-02-22,11.2847
2006-02-23,-18.0967
2006-02-24,33.3333
2006-02-27,3.5714
2006-02-28,3.4483
2006-03-01,13.3333
2006-03-02,7.6471
2006-03-03,13.661200000000001
2006-03-06,-1.4423
2006-03-07,-12.1951
2006-03-08,-8.3333
2006-03-09,-25.4545
2006-03-10,13.8211
2006-03-13,-10.0
2006-03-14,3.1746
2006-03-15,-5.3846
2006-03-16,10.5691
2006-03-17,2.2059
2006-03-20,1.4388
2006-03-21,-2.8369
2006-03-22,3.6496
2006-03-23,-1.4085
2006-03-24,4.2857
2006-03-27,-4.1096
2006-03-28,2.1429
2006-03-29,2.7972
2006-03-30,2.0408
2006-03-31,0.0
2006-04-03,1.3333
2006-04-04,3.9474
2006-04-05,0.3797
2006-04-06,-1.1349
2006-04-07,4.1454
2006-04-10,7.1647
2006-04-11,5.1429
2006-04-12,0.5435
2006-04-13,2.7027
2006-04-17,-10.526299999999999
2006-04-18,-0.5882
2006-04-19,-8.284
2006-04-20,6.3225999999999996
2006-04-21,0.1214
2006-04-24,-3.0303
2006-04-25,-1.875
2006-04-26,2.8025
2006-04-27,7.1871
2006-04-28,3.4682
2006-05-01,0.0
2006-05-02,-0.5587
2006-05-03,-2.809
2006-05-04,10.9827
2006-05-05,-1.0417
2006-05-08,-20.0
2006-05-09,11.1842
2006-05-10,0.5917
2006-05-11,8.2353
2006-05-12,3.2609
2006-05-15,20.0013
2006-05-16,10.5251
2006-05-17,1.5873
2006-05-18,-7.8125
2006-05-19,-0.339
2006-05-22,1.3605
2006-05-23,-15.7718
2006-05-24,-7.9681
2006-05-25,3.8961
2006-05-26,19.5833
2006-05-30,2.7875
2006-05-31,-2.3729
2006-06-01,-2.7778
2006-06-02,-4.6429
2006-06-05,-4.4944
2006-06-06,-1.9607999999999999
2006-06-07,8.0
2006-06-08,0.0
2006-06-09,2.2222
2006-06-12,3.2609
2006-06-13,0.0
2006-06-14,-2.1053
2006-06-15,5.3763
2006-06-16,5.4422
2006-06-19,3.871
2006-06-20,6.5217
2006-06-21,-5.2478
2006-06-22,-7.6923
2006-06-23,1.6667
2006-06-26,-1.6393
2006-06-27,-8.0
2006-06-28,-0.3623
2006-06-29,-5.4545
2006-06-30,-17.6923
2006-07-03,12.1495
2006-07-05,4.1667
2006-07-06,-8.0
2006-07-07,-3.9130000000000003
