ticker,LZENF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-11-19,0.25
2010-11-22,0.0
2010-11-23,0.2494
2010-11-24,-0.2488
2010-11-26,-0.2494
2010-11-29,-6.0
2010-11-30,-8.2447
2010-12-01,-2.8986
2010-12-02,0.8955
2010-12-03,3.5503
2010-12-06,1.4285999999999999
2010-12-07,1.4085
2010-12-08,8.0226
2010-12-09,-5.8839
2010-12-10,-2.1858
2010-12-13,0.0
2010-12-14,1.9553
2010-12-15,-1.3699
2010-12-16,-0.2778
2010-12-17,-0.8357
2010-12-20,1.1236
2010-12-21,-0.2743
2010-12-22,0.2751
2010-12-23,-2.5
2010-12-27,8.8319
2010-12-28,-5.2356
2010-12-29,0.8287
2010-12-30,0.0
2010-12-31,-0.5479
2011-01-03,-3.3058
2011-01-04,2.849
2011-01-05,3.8816
2011-01-06,-0.0067
2011-01-07,3.4701
2011-01-10,-3.0896
2011-01-11,-0.8012
2011-01-12,-2.9491
2011-01-13,3.5911999999999997
2011-01-14,-3.7333
2011-01-19,0.277
2011-01-20,-5.5249
2011-01-21,-1.7544
2011-01-24,-1.7856999999999998
2011-01-25,0.6061
2011-01-26,-0.3012
2011-01-27,-4.2296
2011-01-28,-0.3155
2011-01-31,0.0
2011-02-01,-0.3165
2011-02-02,7.9365
2011-02-03,-4.1176
2011-02-04,3.681
2011-02-07,-2.3669000000000002
2011-02-08,0.303
2011-02-09,3.6254
2011-02-10,-4.6647
2011-02-11,1.2232
2011-02-14,1.8127
2011-02-16,-1.7804
2011-02-17,0.0
2011-02-18,0.9101
2011-02-22,-2.6983
2011-02-23,-0.9231
2011-02-25,2.4845
2011-02-28,-1.5152
2011-03-01,-0.3077
2011-03-02,-0.9259
2011-03-04,1.2461
2011-03-07,-1.5385
2011-03-08,-0.625
2011-03-09,-2.5157
2011-03-10,-1.2903
2011-03-11,0.3268
2011-03-14,-14.658
2011-03-15,9.9237
2011-03-16,-3.7088
2011-03-17,8.1788
2011-03-18,-5.0042
2011-03-21,3.1624
2011-03-24,-6.8027
2011-03-25,0.7299
2011-03-28,0.0
2011-03-29,0.3623
2011-03-30,-3.9711
2011-03-31,-0.3759
2011-04-01,-1.8868
2011-04-04,-1.5385
2011-04-05,-5.8594
2011-04-06,0.8299
2011-04-07,-18.93
2011-04-08,12.6904
2011-04-11,-5.4054
2011-04-12,0.4762
2011-04-13,4.2654
2011-04-15,-1.8182
2011-04-18,-1.8519
2011-04-19,-7.5472
2011-04-20,6.1224
