ticker,TDYT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-04-21,0.0
2005-04-22,-10.0
2005-04-28,-17.7778
2005-05-03,-2.7027
2005-05-11,3.3333
2005-05-17,7.5269
2005-05-19,-5.0
2005-05-23,2.6316
2005-05-25,-7.1795
2005-05-26,1.6575
2005-06-02,-1.087
2005-06-03,0.0
2005-06-08,1.0989
2005-06-09,0.0
2005-06-13,-4.8913
2005-06-14,-11.4286
2005-06-15,0.0
2005-06-17,-3.2258
2005-06-22,0.0
2005-06-28,-16.0
2005-06-29,-0.7937
2005-06-30,0.8
2005-07-01,-5.5556
2005-07-05,0.8403
2005-07-06,0.0
2005-07-07,-15.8333
2005-07-08,3.9604
2005-07-12,-14.2857
2005-07-13,-5.5556
2005-07-14,0.0
2005-07-15,10.5882
2005-07-18,-4.2553
2005-07-19,-5.5556
2005-07-20,-5.8824
2005-07-21,-18.75
2005-07-22,0.0
2005-07-26,0.0
2005-07-28,0.0
2005-07-29,-61.5385
2005-08-02,60.0
2005-08-03,2.5
2005-08-09,31.7073
2005-08-11,62.963
2005-08-16,-14.7727
2005-08-23,6.6667
2005-08-26,6.25
2005-09-06,11.7647
2005-09-07,26.3158
2005-09-21,-20.8333
2005-09-23,0.0
2005-09-27,0.0
2005-10-03,0.0
2005-10-11,10.526299999999999
2005-10-12,-0.9524
2005-10-14,0.0
2005-10-19,0.9615
2005-10-27,4.7619
2005-10-31,-4.5455
2005-11-07,-3.8095
2005-11-08,0.0
2005-11-09,0.0
2005-11-11,13.8614
2005-11-14,0.0
2005-11-15,-13.0435
2005-11-16,0.0
2005-11-21,15.0
2005-11-23,-28.6957
2005-11-29,3.6585
2005-11-30,47.0588
2005-12-05,-20.0
2005-12-06,0.0
2005-12-09,25.0
2005-12-12,-4.0
2005-12-16,0.0
2005-12-21,4.1667
2005-12-22,0.8
2005-12-28,-0.7937
2005-12-30,0.0
2006-01-03,0.0
2006-01-05,8.0
2006-01-10,-2.963
2006-01-11,-4.5802
2006-01-13,0.0
2006-01-17,0.0
2006-01-18,0.0
2006-01-19,-19.2
2006-01-24,33.6634
2006-01-25,33.3333
2006-01-26,0.0
2006-01-31,-5.5556
2006-02-01,-5.8824
2006-02-06,-12.5
2006-02-07,0.0
2006-02-08,4.2857
2006-02-14,0.0
2006-02-15,0.0
2006-02-24,0.0
2006-02-27,23.2877
2006-02-28,-3.3333
2006-03-01,-19.5402
2006-03-02,32.1429
2006-03-03,0.0
2006-03-06,-16.2162
