ticker,PHCG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-01-23,100.0
2018-01-24,30.0
2018-01-25,-30.7692
2018-01-26,0.0
2018-01-29,4.4444
2018-02-07,6.383
2018-02-08,0.0
2018-02-16,-7.9
2018-02-21,-2.823
2018-02-23,-6.1453
2018-03-02,-5.9524
2018-03-05,7.5949
2018-03-13,-27.0588
2018-03-15,-8.0645
2018-03-20,-8.7719
2018-03-26,5.7692
2018-05-08,-7.2727
2018-06-18,-31.3725
2018-06-26,17.1429
2018-07-16,-39.0244
2018-07-18,-32.0
2018-08-09,-35.2941
2018-08-16,36.3636
2018-08-20,3.3333
2018-08-29,174.1935
2018-09-07,-45.8824
2018-09-10,12.6087
2018-09-11,-22.7799
2018-09-14,0.0
2018-09-20,25.0
2018-09-24,40.0
2018-09-27,30.0
2018-09-28,7.6923
2018-10-03,2.0408
2018-10-04,0.0
2018-10-09,-19.8
2018-10-10,2.2444
2018-10-17,34.1463
2018-10-19,0.0
2018-10-22,-22.9091
2018-10-24,53.3019
2018-10-26,-37.6923
2018-10-29,0.0
2018-10-30,30.8642
2018-11-01,-7.2642
2018-11-08,22.0753
2018-11-09,16.6667
2018-11-14,17.1429
2018-11-15,-37.8049
2018-11-16,-9.8039
2018-11-19,11.9565
2018-11-26,-24.2718
2018-11-27,53.8462
2018-11-30,-41.6667
2018-12-03,-28.5714
2018-12-06,260.0
2018-12-07,-22.2222
2018-12-10,0.0
2018-12-12,0.0
2018-12-13,0.0
2018-12-14,25.0
2018-12-20,-20.0
2018-12-24,7.1429
2018-12-31,26.6667
2019-01-04,5.2632
2019-01-08,0.0
2019-01-09,-5.0
2019-01-10,21.0526
2019-01-11,-17.3913
2019-01-14,0.0
2019-01-22,42.1053
2019-01-23,-25.9259
2019-01-24,0.0
2019-01-25,0.0
2019-01-28,-20.0
2019-01-29,87.125
2019-01-30,33.6005
2019-02-01,-24.5
2019-02-06,-28.4768
2019-02-07,39.8148
2019-02-08,-17.2185
2019-02-11,60.0
2019-02-12,-35.0
2019-02-13,3.8462
2019-02-15,-18.5185
2019-02-19,32.4091
2019-02-20,0.9269
2019-02-21,-26.5306
2019-02-22,29.6296
2019-02-25,0.0
2019-02-27,-10.7143
2019-02-28,10.88
2019-03-01,1.0101
2019-03-05,-16.4286
2019-03-06,0.0
2019-03-08,0.0
2019-03-11,-0.8547
2019-03-12,3.4483
2019-03-13,6.6667
2019-03-14,-3.125
2019-03-15,-3.2258
2019-03-20,-10.8333
