ticker,SCNG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-09-14,73.2673
2005-09-15,-8.5714
2005-09-16,56.25
2005-09-19,60.0
2005-09-20,18.75
2005-09-21,-7.3684
2005-09-22,0.0
2005-09-23,13.6364
2005-09-26,-8.0
2005-09-27,8.6957
2005-09-28,3.0
2005-09-29,0.9709
2005-09-30,-3.8462
2005-10-03,0.0
2005-10-04,-3.0
2005-10-05,1.0309
2005-10-06,-8.1633
2005-10-07,0.0
2005-10-10,0.0
2005-10-11,-3.5556
2005-10-12,2.5346
2005-10-13,8.9888
2005-10-14,-12.3711
2005-10-17,-4.9412
2005-10-18,-3.4653
2005-10-19,5.1282
2005-10-20,-2.439
2005-10-21,-15.0
2005-10-25,-11.4706
2005-10-27,-26.5781
2005-10-28,38.009
2005-10-31,0.0
2005-11-01,0.0
2005-11-02,19.6721
2005-11-03,-1.3699
2005-11-04,-2.7778
2005-11-07,-14.2857
2005-11-08,1.6667
2005-11-09,19.6721
2005-11-10,-6.8493
2005-11-11,1.4706000000000001
2005-11-14,21.7391
2005-11-15,7.1429
2005-11-16,33.3333
2005-11-17,-20.0
2005-11-18,-6.25
2005-11-21,-20.0
2005-11-22,-1.6667
2005-11-23,-5.0847
2005-11-28,1.7856999999999998
2005-11-29,5.2632
2005-11-30,28.3333
2005-12-01,-14.2857
2005-12-02,6.0606
2005-12-05,-8.5714
2005-12-06,6.25
2005-12-07,-7.3529
2005-12-08,-6.3492
2005-12-09,11.8644
2005-12-12,-6.0606
2005-12-13,-4.8387
2005-12-14,-11.0169
2005-12-15,-0.9524
2005-12-16,-5.2885
2005-12-19,9.6447
2005-12-20,-7.4074
2005-12-21,4.0
2005-12-22,-11.538499999999999
2005-12-23,0.0
2005-12-27,-6.5217
2005-12-28,-3.4884
2005-12-29,3.6145
2005-12-30,0.0
2006-01-03,18.6047
2006-01-04,0.0
2006-01-05,-9.8039
2006-01-06,-2.1739
2006-01-09,-2.25
2006-01-10,-4.5183
2006-01-11,2.3810000000000002
2006-01-12,-2.3256
2006-01-13,-4.5238
2006-01-17,2.2444
2006-01-18,26.8293
2006-01-19,-1.9231
2006-01-20,1.9607999999999999
2006-01-23,5.7692
2006-01-24,-1.8182
2006-01-25,-7.4074
2006-01-26,10.0
2006-01-27,-10.9091
2006-01-30,46.9388
2006-01-31,19.4444
2006-02-01,-3.4884
2006-02-02,8.4337
2006-02-03,0.0
2006-02-06,25.5556
2006-02-07,6.1947
2006-02-08,-12.5
