ticker,CMCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-20,-42.8571
2011-04-21,83.3333
2011-04-25,0.0
2011-04-26,-8.1818
2011-04-27,8.9109
2011-04-28,11.818200000000001
2011-04-29,21.1382
2011-05-02,7.3826
2011-05-03,-3.125
2011-05-04,-7.0968
2011-05-05,-3.4722
2011-05-06,-4.3165
2011-05-09,-22.5564
2011-05-10,16.5049
2011-05-11,6.6667
2011-05-12,-5.4688
2011-05-13,-9.0909
2011-05-16,-7.2727
2011-05-17,-2.9412000000000003
2011-05-18,4.0404
2011-05-19,1.9417
2011-05-20,-5.7143
2011-05-23,-9.0909
2011-05-24,-4.4444
2011-05-25,-2.3256
2011-05-26,-10.7143
2011-05-27,28.0
2011-05-31,-11.4583
2011-06-01,-5.8824
2011-06-02,6.25
2011-06-03,-5.8824
2011-06-06,-12.5
2011-06-07,21.4286
2011-06-08,-11.6471
2011-06-09,13.1824
2011-06-10,18.8235
2011-06-13,12.8713
2011-06-14,-8.7719
2011-06-15,0.9615
2011-06-16,2.8571
2011-06-17,-1.8519
2011-06-20,1.8868
2011-06-21,2.7778
2011-06-22,12.6126
2011-06-23,4.0
2011-06-24,11.538499999999999
2011-06-27,-22.7586
2011-06-28,-1.7856999999999998
2011-06-29,-7.2727
2011-06-30,0.0
2011-07-01,-11.7647
2011-07-05,5.5556
2011-07-06,-5.2632
2011-07-07,1.6667
2011-07-08,-10.3825
2011-07-11,-4.2683
2011-07-12,-3.1847
2011-07-13,-2.6316
2011-07-14,1.3514
2011-07-15,0.0
2011-07-18,-6.6667
2011-07-19,5.7143
2011-07-20,-14.8649
2011-07-21,-4.7619
2011-07-22,21.6667
2011-07-25,1.3699
2011-07-26,1.3514
2011-07-27,0.0
2011-07-28,-9.3333
2011-07-29,-5.8824
2011-08-01,-3.125
2011-08-02,-3.2258
2011-08-03,-1.6667
2011-08-04,-8.4746
2011-08-05,11.1111
2011-08-08,-8.3333
2011-08-09,-10.9091
2011-08-10,0.0
2011-08-11,12.6913
2011-08-12,-4.0181
2011-08-15,3.7736
2011-08-16,-9.0909
2011-08-17,-6.0
2011-08-18,4.2553
2011-08-19,0.0
2011-08-22,-4.0816
2011-08-23,-8.5106
2011-08-24,-2.3256
2011-08-25,-38.0952
2011-08-26,3.8462
2011-08-29,3.7037
2011-08-30,-10.7143
2011-08-31,20.0
2011-09-01,13.3333
2011-09-02,38.2353
2011-09-06,4.2553
2011-09-07,-18.3673
2011-09-08,-20.0
2011-09-09,21.875
