ticker,KLTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-02-19,0.0
2010-05-04,0.0
2013-11-01,-92.0
2014-09-24,0.0
2015-02-26,910.0
2015-07-30,-90.099
2015-09-30,0.0
2017-04-19,-99.8125
2018-01-22,74566.6667
2018-01-23,-78.5714
2018-02-01,133.3333
2018-02-14,-13.1429
2018-06-19,23.3553
2018-06-20,-46.6667
2018-06-26,0.0
2018-07-09,12.5
2018-08-28,-2.2222
2019-02-04,-2.2727
2019-10-29,-88.3721
2019-11-11,200.0
2019-11-12,0.0
2019-11-15,0.0
2019-12-18,33.3333
2019-12-19,0.0
2020-01-03,-35.0
2020-01-13,-7.6923
2020-01-28,25.8333
2020-02-14,-0.6623
2020-03-06,0.6667
2020-04-29,-33.7748
2020-04-30,55.0
2020-06-03,-3.2258
2020-06-23,-50.0
