ticker,WVE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-11-11,0.0
2015-11-12,0.0
2015-11-13,-0.625
2015-11-16,-0.0629
2015-11-17,0.0629
2015-11-18,-0.0629
2015-11-19,-0.6293
2015-11-20,1.33
2015-11-23,0.0
2015-11-24,0.0
2015-11-25,0.5
2015-11-27,0.0622
2015-11-30,0.9944
2015-12-01,1.4769
2015-12-02,2.3044000000000002
2015-12-03,-0.7113
2015-12-04,-2.0896
2015-12-07,-13.7805
2015-12-08,0.5658
2015-12-09,-0.4219
2015-12-10,0.8475
2015-12-11,-3.4664
2015-12-14,-5.1143
2015-12-15,3.2875
2015-12-16,2.0725
2015-12-17,16.3887
2015-12-18,-4.5483
2015-12-21,12.9896
2015-12-22,13.1138
2015-12-23,-9.6527
2015-12-24,-7.3488
2015-12-28,-4.881
2015-12-29,-6.0295
2015-12-30,2.5256
2015-12-31,6.1917
2016-01-04,-5.5172
2016-01-05,-3.2515
2016-01-06,-2.8121
2016-01-07,-0.7763
2016-01-08,-6.1166
2016-01-11,1.2121
2016-01-12,-0.9731
2016-01-13,0.1512
2016-01-14,-1.1320999999999999
2016-01-15,6.7176
2016-01-19,9.5136
2016-01-20,3.9843
2016-01-21,-4.5226
2016-01-22,0.0658
2016-01-25,-6.1801
2016-01-26,-5.6062
2016-01-27,-1.8931
2016-01-28,4.1988
2016-01-29,-1.742
2016-02-01,-4.2129
2016-02-02,-1.6204
2016-02-03,-1.2539
2016-02-04,1.2698
2016-02-05,-1.2549000000000001
2016-02-08,-12.3114
2016-02-09,0.6341
2016-02-10,-12.5113
2016-02-11,3.669
2016-02-12,-1.1574
2016-02-16,-3.6145
2016-02-17,5.4167
2016-02-18,31.3241
2016-02-19,2.2573
2016-02-22,5.1508
2016-02-23,8.3275
2016-02-24,-8.3979
2016-02-25,3.6671
2016-02-26,0.6803
2016-02-29,1.6892
2016-03-01,-6.3123000000000005
2016-03-02,5.1064
2016-03-03,3.2389
2016-03-04,-1.1764999999999999
2016-03-07,-2.5463
2016-03-08,-4.2416
2016-03-09,0.2835
2016-03-10,3.8869
2016-03-11,-2.9252000000000002
2016-03-14,18.7807
2016-03-15,14.7493
2016-03-16,1.7995
2016-03-17,-4.1919
2016-03-18,-23.0891
2016-03-21,-4.4551
2016-03-22,0.0717
2016-03-23,0.3584
2016-03-24,3.6429
2016-03-28,-0.1378
2016-03-29,-1.1042
2016-03-30,0.1396
2016-03-31,-3.2753
2016-04-01,-1.2968
2016-04-04,0.146
