ticker,FWRD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.7290999999999999
2000-01-04,3.2258
2000-01-05,1.4205
2000-01-06,3.0812
2000-01-07,-0.2717
2000-01-10,0.0
2000-01-11,-5.3134
2000-01-12,0.2878
2000-01-13,0.1435
2000-01-14,1.1461000000000001
2000-01-18,-0.8499
2000-01-19,-4.0
2000-01-20,-9.5238
2000-01-21,1.3158
2000-01-24,2.1104
2000-01-25,-0.7949
2000-01-26,9.7756
2000-01-27,-0.5839
2000-01-28,-4.8458
2000-01-31,-0.2315
2000-02-01,-2.5522
2000-02-02,0.9524
2000-02-03,13.6792
2000-02-04,-4.9793
2000-02-07,6.9869
2000-02-08,2.0408
2000-02-09,-4.8
2000-02-10,-2.521
2000-02-11,-3.0172
2000-02-14,-5.7778
2000-02-15,-9.1981
2000-02-16,-3.6364
2000-02-17,-1.3477000000000001
2000-02-18,-12.5683
2000-02-22,7.5
2000-02-23,10.1744
2000-02-24,1.3193
2000-02-25,-3.9063
2000-02-28,-0.271
2000-02-29,0.0
2000-03-01,4.0761
2000-03-02,4.1775
2000-03-03,2.005
2000-03-06,-3.1941
2000-03-07,-2.0305
2000-03-08,0.0
2000-03-09,-0.7772
2000-03-10,1.8277
2000-03-13,0.5128
2000-03-14,-1.5306
2000-03-15,-0.7772
2000-03-16,0.5222
2000-03-17,-0.2597
2000-03-20,0.0
2000-03-21,0.5208
2000-03-22,-1.0363
2000-03-23,1.0471
2000-03-24,-0.2591
2000-03-27,0.2597
2000-03-28,-0.2591
2000-03-29,-3.3766
2000-03-30,2.1505
2000-03-31,-0.2632
2000-04-03,-3.9577999999999998
2000-04-04,-7.1429
2000-04-05,6.5089
2000-04-06,2.2222
2000-04-07,2.6494999999999997
2000-04-10,0.5956
2000-04-11,0.7895
2000-04-12,16.4491
2000-04-13,11.6592
2000-04-14,-7.6305
2000-04-17,-3.9130000000000003
2000-04-18,13.1222
2000-04-19,2.8
2000-04-20,-0.9728
2000-04-24,-5.6974
2000-04-25,0.625
2000-04-26,7.2464
2000-04-27,-1.7375
2000-04-28,8.055
2000-05-01,-1.6364
2000-05-02,2.9575
2000-05-03,5.5655
2000-05-04,-1.8707
2000-05-05,-0.5199
2000-05-08,-0.5226
2000-05-09,1.5762
2000-05-10,-1.0345
2000-05-11,0.3484
2000-05-12,-4.8611
2000-05-15,-0.365
2000-05-16,-1.4652
2000-05-17,-2.277
2000-05-18,-4.1369
2000-05-19,2.7778
2000-05-22,-1.5444
