ticker,BNXR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-08-20,48.0
2004-08-23,-59.4595
2004-08-24,-6.6667
2004-08-26,71.4286
2004-09-17,129.1667
2004-09-27,3.6364
2004-10-25,78.9474
2004-11-03,7.8431
2004-11-11,-0.9091
2004-12-07,28.4404
2004-12-23,-27.1429
2005-01-07,17.647100000000002
2005-01-10,38.3333
2005-01-27,-21.6867
2005-02-02,-4.6154
2005-02-16,0.0
2005-02-22,0.0
2005-03-22,-8.0645
2005-03-23,-10.526299999999999
2005-03-28,-19.6078
2005-04-19,9.7561
2005-05-18,-11.1111
2005-05-19,-12.5
2005-06-15,28.5714
2005-06-22,13.3333
2005-06-28,1.9607999999999999
2005-07-08,0.0
2005-07-28,25.0
2005-07-29,100.0
2005-08-03,-15.3846
2005-08-04,-1.8182
2005-08-05,-1.8519
2005-08-08,6.6038
2005-08-09,-2.5664
2005-08-10,38.9646
2005-08-11,9.1503
2005-08-12,-1.1976
2005-08-15,6.0606
2005-08-16,-4.0
2005-08-17,4.1667
2005-08-18,0.0
2005-08-19,0.5714
2005-08-22,1.1364
2005-08-23,-3.9326
2005-08-24,-0.5848
2005-08-25,2.9412000000000003
2005-08-26,2.8571
2005-08-29,5.0
2005-08-30,2.6455
2005-08-31,-1.0309
2005-09-01,-3.125
2005-09-02,1.0753
2005-09-06,-1.0638
2005-09-07,0.5376
2005-09-08,0.0
2005-09-09,0.5348
2005-09-12,0.0
2005-09-13,0.0
2005-09-14,0.5319
2005-09-16,-2.1164
2005-09-19,2.7027
2005-09-20,-1.5263
2005-09-21,2.0844
2005-09-22,0.0
2005-09-23,1.0471
2005-09-26,0.0
2005-09-27,3.6269
2005-09-28,5.5
2005-09-29,0.0
2005-09-30,6.6350999999999996
2005-10-03,-0.4444
2005-10-04,-2.2321
2005-10-06,-2.2831
2005-10-07,0.0
2005-10-10,2.3364
2005-10-11,-0.4566
2005-10-12,0.4587
2005-10-13,3.1963
2005-10-14,0.885
2005-10-17,-1.3158
2005-10-18,-2.6667
2005-10-19,-11.4155
2005-10-20,5.1546
2005-10-21,-3.4314
2005-10-24,-8.6294
2005-10-25,0.0
2005-10-26,5.5556
2005-10-27,0.5263
2005-10-28,-4.1885
2005-10-31,0.5464
2005-11-01,-1.087
2005-11-02,-13.1868
2005-11-03,5.6962
2005-11-04,7.1856
2005-11-07,0.5587
2005-11-08,2.7778
2005-11-09,-1.0811
2005-11-10,-1.6393
2005-11-11,0.5556
2005-11-14,0.5525
