ticker,ADGS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-18,66.6667
2013-11-19,0.0
2013-11-21,20.0
2013-11-22,-15.4688
2013-11-25,18.2994
2013-11-26,0.0
2013-11-27,0.0
2013-12-03,0.0
2013-12-04,8.3333
2013-12-06,0.0
2013-12-09,15.3846
2013-12-10,0.0
2013-12-12,0.0
2013-12-13,0.0
2013-12-16,0.0
2013-12-17,0.0
2013-12-20,0.0
2013-12-23,0.0
2013-12-24,4.6667
2013-12-26,8.2803
2013-12-27,0.0
2013-12-30,0.0
2013-12-31,0.0
2014-01-02,11.7647
2014-01-03,0.0
2014-01-09,0.0
2014-01-13,0.0
2014-01-14,10.526299999999999
2014-01-16,0.0
2014-01-17,23.8095
2014-01-21,15.3846
2014-01-22,0.0
2014-01-23,-30.0
2014-01-24,4.7619
2014-01-27,36.3636
2014-01-28,-16.6667
2014-01-29,20.0
2014-01-30,0.0
2014-01-31,6.6667
2014-02-03,0.0
2014-02-04,12.5
2014-02-05,0.0
2014-02-06,0.0
2014-02-07,-41.1111
2014-02-10,68.8679
2014-02-11,0.0
2014-02-14,0.0
2014-02-20,-2.7933
2014-02-25,0.0
2014-02-26,0.5747
2014-03-05,-0.5714
2014-03-07,0.0
2014-03-11,0.5747
2014-03-13,0.0
2014-03-14,5.7143
2014-03-17,0.0
2014-03-18,0.0
2014-03-19,-2.7027
2014-03-25,-16.1111
2014-03-28,-13.245
2014-04-03,41.2214
2014-04-09,-13.5135
2014-04-10,-37.5
2014-04-11,55.0
2014-04-14,0.0
2014-04-17,0.0
2014-04-21,16.129
2014-04-24,2.7778
2014-04-25,-13.5135
2014-05-05,15.625
2014-05-13,0.0
2014-05-19,-8.1081
2014-05-23,0.0
2014-05-27,-5.8824
2014-06-04,-6.25
2014-06-06,23.3333
2014-06-11,-2.7027
2014-06-12,-5.5556
2014-06-18,-5.8824
2014-06-20,-12.5
2014-06-24,0.0
2014-07-01,0.0
2014-07-07,-1.4285999999999999
2014-07-08,-5.7971
2014-07-14,0.0
2014-07-15,0.0
2014-07-22,0.0
2014-07-23,6.1538
2014-07-24,41.3043
2014-07-25,53.3333
2014-07-28,-23.0769
2014-07-29,45.6522
2014-07-30,4.4776
2014-07-31,-5.7143
2014-08-01,-1.5152
2014-08-04,-38.1538
2014-08-05,24.3781
2014-08-06,-2.4
2014-08-14,-18.0328
2014-08-15,-50.0
2014-08-18,70.0
2014-08-19,-14.7059
2014-08-20,-30.3448
2014-08-28,38.6139
