ticker,ZEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-15,49.2222
2014-05-16,13.5517
2014-05-19,8.1967
2014-05-20,2.7273
2014-05-21,1.4159
2014-05-22,-6.05
2014-05-23,1.3003
2014-05-27,-1.5892
2014-05-28,7.9503
2014-05-29,0.6329
2014-05-30,-8.6335
2014-06-02,-6.1327
2014-06-03,0.4
2014-06-04,1.5936
2014-06-05,-0.5229
2014-06-06,1.117
2014-06-09,12.5406
2014-06-10,-4.7344
2014-06-11,12.0606
2014-06-12,-3.245
2014-06-13,-6.3723
2014-06-16,2.9254
2014-06-17,2.6682
2014-06-18,-0.5085
2014-06-19,2.2147
2014-06-20,-2.4444
2014-06-23,2.4487
2014-06-24,-1.0006
2014-06-25,0.7299
2014-06-26,-1.4493
2014-06-27,-2.9412000000000003
2014-06-30,1.2821
2014-07-01,-0.4603
2014-07-02,-5.0289
2014-07-03,0.4869
2014-07-07,-4.361
2014-07-08,3.7365
2014-07-09,-2.0147
2014-07-10,0.1869
2014-07-11,-0.8706
2014-07-14,3.3877
2014-07-15,3.5194
2014-07-16,0.5275
2014-07-17,-0.0583
2014-07-18,2.9172000000000002
2014-07-21,-1.8141
2014-07-22,-0.3464
2014-07-23,0.8111
2014-07-24,0.5172
2014-07-25,-2.5157
2014-07-28,1.173
2014-07-29,0.0
2014-07-30,3.0145
2014-07-31,-2.1384
2014-08-01,0.9201
2014-08-04,-0.2849
2014-08-05,2.6856999999999998
2014-08-06,6.7334
2014-08-07,1.2513
2014-08-08,9.6292
2014-08-11,7.6562
2014-08-12,-0.9599
2014-08-13,2.7313
2014-08-14,0.0858
2014-08-15,2.7420999999999998
2014-08-18,1.1259000000000001
2014-08-19,3.9175
2014-08-20,-0.754
2014-08-21,-0.12
2014-08-22,-0.1601
2014-08-25,1.0826
2014-08-26,4.2443
2014-08-27,1.6743000000000001
2014-08-28,1.3099
2014-08-29,0.4433
2014-09-02,2.0228
2014-09-03,-2.7397
2014-09-04,-7.7465
2014-09-05,-0.8839
2014-09-08,-1.7835
2014-09-09,0.0825
2014-09-10,0.3711
2014-09-11,0.2465
2014-09-12,-3.6885
2014-09-15,-6.1277
2014-09-16,-1.3146
2014-09-17,4.6853
2014-09-18,1.2286
2014-09-19,-1.8205
2014-09-22,-3.7528
2014-09-23,-2.1101
2014-09-24,1.9213
2014-09-25,0.092
2014-09-26,0.5972
2014-09-29,-0.0457
2014-09-30,-1.3705
2014-10-01,-0.1853
2014-10-02,1.3921000000000001
