ticker,WSBF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-10-06,3.3778
2005-10-07,-1.5476999999999999
2005-10-10,-1.31
2005-10-11,-1.3274
2005-10-12,-3.7668
2005-10-13,-2.6095
2005-10-14,1.4354
2005-10-17,-0.4717
2005-10-18,0.7583
2005-10-19,-0.3763
2005-10-20,-1.5109
2005-10-21,-0.2876
2005-10-24,0.9615
2005-10-25,1.4285999999999999
2005-10-26,-0.4695
2005-10-27,0.6604
2005-10-28,0.9372
2005-10-31,0.0
2005-11-01,-1.2071
2005-11-02,1.5038
2005-11-03,0.3704
2005-11-04,1.0148
2005-11-07,0.0
2005-11-08,0.1826
2005-11-09,0.0
2005-11-10,-0.2735
2005-11-11,0.457
2005-11-14,0.182
2005-11-15,0.3633
2005-11-16,-0.4525
2005-11-17,0.0
2005-11-18,0.4545
2005-11-21,1.81
2005-11-22,0.4444
2005-11-23,2.0354
2005-11-25,-0.2602
2005-11-28,-0.4348
2005-11-29,1.31
2005-11-30,0.3448
2005-12-01,-0.3436
2005-12-02,0.3448
2005-12-05,0.4296
2005-12-06,-0.0855
2005-12-07,0.1712
2005-12-08,0.3419
2005-12-09,0.0852
2005-12-12,1.5319
2005-12-13,-0.3353
2005-12-14,0.0841
2005-12-15,-0.8403
2005-12-16,-0.7627
2005-12-19,-3.3305
2005-12-20,0.8834
2005-12-21,0.3503
2005-12-22,1.9197
2005-12-23,0.0856
2005-12-27,-2.3097
2005-12-28,1.8389
2005-12-29,-0.6019
2005-12-30,-1.0381
2006-01-03,1.049
2006-01-04,0.0
2006-01-05,-0.519
2006-01-06,1.2174
2006-01-09,0.8591
2006-01-10,0.0852
2006-01-11,0.5957
2006-01-12,-0.6768
2006-01-13,0.5111
2006-01-17,0.2542
2006-01-18,0.0
2006-01-19,0.0
2006-01-20,0.1691
2006-01-23,0.0
2006-01-24,0.0844
2006-01-25,0.0843
2006-01-26,0.2527
2006-01-27,0.1681
2006-01-30,-0.1678
2006-01-31,-0.2521
2006-02-01,0.4212
2006-02-02,0.1678
2006-02-03,0.0628
2006-02-06,0.0209
2006-02-07,-0.0837
2006-02-08,-0.1675
2006-02-09,-0.1678
2006-02-10,0.0
2006-02-13,0.0
2006-02-14,0.084
2006-02-15,-0.0782
2006-02-16,0.6665
2006-02-17,0.0
2006-02-21,0.1669
2006-02-22,0.8333
2006-02-23,-1.4876
2006-02-24,2.6846
2006-02-27,0.817
2006-02-28,1.9449
2006-03-01,0.159
2006-03-02,-0.7143
