ticker,ESGR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-02,-2.148
2007-02-05,0.4878
2007-02-06,-0.8835
2007-02-07,-0.9697
2007-02-08,-0.3759
2007-02-09,-0.7347
2007-02-12,-2.9806
2007-02-13,-1.6082
2007-02-14,0.5868
2007-02-15,9.1042
2007-02-16,-5.6712
2007-02-20,3.2287
2007-02-21,-2.0001
2007-02-22,2.6311999999999998
2007-02-23,-2.9538
2007-02-26,1.2657
2007-02-27,-1.7657
2007-02-28,1.4844
2007-03-01,-1.8885999999999998
2007-03-02,1.3771
2007-03-05,0.5405
2007-03-06,1.7412
2007-03-07,0.1467
2007-03-08,-1.6503
2007-03-09,2.2638
2007-03-12,-2.3595
2007-03-13,1.8795
2007-03-14,-0.1562
2007-03-15,0.1075
2007-03-16,-0.127
2007-03-19,0.0489
2007-03-20,-1.1435
2007-03-21,0.2966
2007-03-22,0.4239
2007-03-23,-1.5998999999999999
2007-03-26,1.1172
2007-03-27,-0.73
2007-03-28,-0.6062
2007-03-29,-0.4299
2007-03-30,-0.9539
2007-04-02,-0.4359
2007-04-03,0.2953
2007-04-04,0.4132
2007-04-09,-0.0374
2007-04-10,1.1429
2007-04-11,0.46
2007-04-12,-0.4579
2007-04-16,0.0
2007-04-17,0.85
2007-04-18,0.1487
2007-04-19,-0.0495
2007-04-20,1.0451
2007-04-23,0.8578
2007-04-24,-0.3985
2007-04-25,2.0787
2007-04-26,-1.8547
2007-04-27,0.8182
2007-04-30,0.4831
2007-05-01,-0.1538
2007-05-02,2.0994
2007-05-03,1.877
2007-05-04,1.361
2007-05-07,-0.9865
2007-05-08,-2.1033
2007-05-09,-0.1131
2007-05-10,-0.7264
2007-05-11,0.3516
2007-05-14,-0.5682
2007-05-15,0.0
2007-05-16,-0.4381
2007-05-17,0.3252
2007-05-18,0.8486
2007-05-21,-1.2574
2007-05-22,0.0574
2007-05-23,0.7847
2007-05-24,1.1204
2007-05-25,0.6291
2007-05-29,2.6407
2007-05-30,2.2364
2007-05-31,3.299
2007-06-01,1.5838999999999999
2007-06-04,-0.4915
2007-06-05,-1.4647000000000001
2007-06-06,-1.4087
2007-06-07,1.6743000000000001
2007-06-08,3.0261
2007-06-11,1.2551999999999999
2007-06-12,2.0496
2007-06-13,-1.8546
2007-06-14,-0.1155
2007-06-15,-0.9913
2007-06-18,1.1431
2007-06-19,-2.1614
2007-06-20,-0.3626
2007-06-21,-1.4132
2007-06-22,-0.2232
2007-06-25,0.2925
