ticker,PGEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-08,54.5625
2013-08-09,17.6304
2013-08-12,2.0969
2013-08-13,-3.4007
2013-08-14,-5.0889
2013-08-15,-5.2516
2013-08-16,-0.6589
2013-08-19,1.2095
2013-08-20,-7.0933
2013-08-21,-1.5352999999999999
2013-08-22,-3.4134
2013-08-23,2.1814999999999998
2013-08-26,-3.5013
2013-08-27,-4.2478
2013-08-28,-1.2939
2013-08-29,3.839
2013-08-30,-2.0289
2013-09-03,2.6691000000000003
2013-09-04,0.3586
2013-09-05,8.4859
2013-09-06,5.1462
2013-09-09,1.7227999999999999
2013-09-10,3.0023
2013-09-11,-5.0075
2013-09-12,-3.0685000000000002
2013-09-13,-3.0032
2013-09-16,-5.5649
2013-09-17,6.1143
2013-09-18,1.4614
2013-09-19,-2.4691
2013-09-20,-6.6667
2013-09-23,0.0
2013-09-24,-3.2098
2013-09-25,3.3162
2013-09-26,2.2604
2013-09-27,1.7241
2013-09-30,2.9552
2013-10-01,2.3217
2013-10-02,5.198
2013-10-03,-1.5686
2013-10-04,-6.0159
2013-10-07,-1.95
2013-10-08,-3.7180999999999997
2013-10-09,-4.8047
2013-10-10,-0.2358
2013-10-11,3.2624
2013-10-14,3.022
2013-10-15,-0.9333
2013-10-16,3.2301
2013-10-17,0.7823
2013-10-18,-0.8193
2013-10-21,-5.0435
2013-10-22,-2.8846
2013-10-23,-1.4616
2013-10-24,2.9187
2013-10-25,2.371
2013-10-28,1.7257
2013-10-29,-1.4285999999999999
2013-10-30,-2.4457
2013-10-31,-1.5785
2013-11-01,-1.5093999999999999
2013-11-04,-1.2931
2013-11-05,-1.2615
2013-11-06,-8.3538
2013-11-07,-5.3619
2013-11-08,9.5184
2013-11-11,1.5003
2013-11-12,-2.1407
2013-11-13,-0.1562
2013-11-14,-5.4773
2013-11-15,8.5541
2013-11-18,-0.8134
2013-11-19,-0.4613
2013-11-20,0.9269
2013-11-21,6.9388
2013-11-22,3.292
2013-11-25,-1.6627999999999998
2013-11-26,1.4561
2013-11-27,1.5278
2013-11-29,4.3776
2013-12-02,-8.0384
2013-12-03,-4.0855
2013-12-04,2.7241
2013-12-05,0.2411
2013-12-06,-1.3468
2013-12-09,-3.3642
2013-12-10,-1.7659
2013-12-11,-1.3354
2013-12-12,2.1864
2013-12-13,0.5604
2013-12-16,0.8612
2013-12-17,-0.4018
2013-12-18,2.2189
2013-12-19,-0.74
2013-12-20,1.1928
2013-12-23,5.2063
