ticker,NINE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-01-19,13.4783
2018-01-22,-1.3027
2018-01-23,0.5435
2018-01-24,-1.5058
2018-01-25,-0.1176
2018-01-26,1.0989
2018-01-29,0.1553
2018-01-30,-1.3953
2018-01-31,6.6038
2018-02-01,-1.5118
2018-02-02,-4.2306
2018-02-05,-1.2901
2018-02-06,-1.2673
2018-02-07,-1.5243
2018-02-08,-2.0774
2018-02-09,-3.2862
2018-02-12,1.0753
2018-02-13,2.3404
2018-02-14,4.8649000000000004
2018-02-15,2.8945
2018-02-16,0.3083
2018-02-20,2.0361
2018-02-21,-0.7154
2018-02-22,2.0099
2018-02-23,2.5651
2018-02-26,-2.6096
2018-02-27,1.7119
2018-02-28,-0.1464
2018-03-01,-3.701
2018-03-02,-1.1416
2018-03-05,1.2317
2018-03-06,-0.8745
2018-03-07,2.0713
2018-03-08,1.4656
2018-03-09,-0.1111
2018-03-12,-3.1887
2018-03-13,-0.1915
2018-03-14,-1.9569999999999999
2018-03-15,-0.5088
2018-03-16,0.5507
2018-03-19,-4.6948
2018-03-20,0.4516
2018-03-21,7.1925
2018-03-22,-2.5162
2018-03-23,-1.447
2018-03-26,-1.8254000000000001
2018-03-27,-6.3056
2018-03-28,-0.7765
2018-03-29,5.8696
2018-04-02,-1.9713
2018-04-03,8.9233
2018-04-04,-2.1154
2018-04-05,3.6935000000000002
2018-04-06,-0.4168
2018-04-09,0.4947
2018-04-10,3.4457
2018-04-11,3.1845
2018-04-12,-0.3193
2018-04-13,1.6726
2018-04-16,2.4501
2018-04-17,5.3639
2018-04-18,2.6265
2018-04-19,-8.3096
2018-04-20,-0.3101
2018-04-23,2.6962
2018-04-24,0.1346
2018-04-25,0.8403
2018-04-26,0.4667
2018-04-27,-2.5547
2018-04-30,3.9837
2018-05-01,-0.8186
2018-05-02,1.0895
2018-05-03,-3.1679
2018-05-04,2.8668
2018-05-07,-1.3443
2018-05-08,2.127
2018-05-09,-1.6596
2018-05-10,1.9523000000000001
2018-05-11,0.5518
2018-05-14,7.9406
2018-05-15,6.5789
2018-05-16,0.2245
2018-05-17,7.3908
2018-05-18,0.2607
2018-05-21,-2.3141
2018-05-22,-3.194
2018-05-23,0.6049
2018-05-24,-0.9019
2018-05-25,-3.1991
2018-05-29,-0.3989
2018-05-30,0.8867
2018-05-31,-1.2759
2018-06-01,-5.6577
2018-06-04,-4.0183
2018-06-05,-1.6175000000000002
2018-06-06,0.8059
2018-06-07,0.6076
