ticker,IFRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-08,-0.0667
2017-11-09,0.0667
2017-11-10,0.0
2017-11-13,-1.0
2017-11-14,-1.2795
2017-11-15,1.296
2017-11-16,-0.3367
2017-11-17,0.2027
2017-11-20,-1.8881000000000001
2017-11-21,3.0928
2017-11-22,0.0
2017-11-24,2.0
2017-11-27,9.1503
2017-11-28,13.7725
2017-11-29,8.9474
2017-11-30,2.8986
2017-12-01,-1.9718
2017-12-04,-7.8544
2017-12-05,-3.0146
2017-12-06,-5.7878
2017-12-07,2.6734999999999998
2017-12-08,6.3158
2017-12-11,-2.2408
2017-12-12,-4.0512
2017-12-13,0.2778
2017-12-14,1.9945
2017-12-15,-1.0864
2017-12-18,9.006
2017-12-19,-4.2821
2017-12-20,4.0
2017-12-21,7.7429
2017-12-22,12.682
2017-12-26,-7.7532
2017-12-27,-7.7722999999999995
2017-12-28,1.8618000000000001
2017-12-29,0.7696
2018-01-02,-3.5322
2018-01-03,0.1979
2018-01-04,13.5556
2018-01-05,3.2833
2018-01-08,-3.8737
2018-01-09,1.4455
2018-01-10,-2.1589
2018-01-11,5.2515
2018-01-12,-1.4256
2018-01-16,-5.9974
2018-01-17,-0.4525
2018-01-18,2.0455
2018-01-19,-0.4454
2018-01-22,3.1767
2018-01-23,1.6045
2018-01-24,-3.4998
2018-01-25,-3.8479
2018-01-26,4.9678
2018-01-29,0.0876
2018-01-30,-0.4816
2018-01-31,5.3674
2018-02-01,-3.6743
2018-02-02,-1.3871
2018-02-05,-1.0989
2018-02-06,4.1778
2018-02-07,-2.9436999999999998
2018-02-08,-0.8791
2018-02-09,4.2129
2018-02-12,18.5106
2018-02-13,7.0018
2018-02-14,-3.5235
2018-02-15,1.7391
2018-02-16,-1.3333
2018-02-20,8.8011
2018-02-21,1.879
2018-02-22,-0.2813
2018-02-23,0.3135
2018-02-26,-11.5313
2018-02-27,1.1657
2018-02-28,-8.9036
2018-03-01,4.9828
2018-03-02,0.7667
2018-03-05,-0.2536
2018-03-06,8.1003
2018-03-07,-5.8468
2018-03-08,0.5353
2018-03-09,0.142
2018-03-12,7.9759
2018-03-13,-2.1668
2018-03-14,-2.4161
2018-03-15,3.37
2018-03-16,-1.1311
2018-03-19,2.86
2018-03-20,0.9159
2018-03-21,-3.2091
2018-03-22,2.5117000000000003
2018-03-23,-1.3721
2018-03-26,3.213
2018-03-27,-6.3864
2018-03-28,3.6339
2018-03-29,-4.5981
2018-04-02,-0.5548
