ticker,AZRH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-27,6800.0
2013-11-29,0.8696
2013-12-02,0.0
2013-12-03,0.0
2013-12-04,0.0
2013-12-05,0.0
2013-12-06,-0.8621
2013-12-09,1.7391
2013-12-10,0.8547
2013-12-11,0.0
2013-12-12,0.0
2013-12-13,1.6949
2013-12-16,0.8333
2013-12-17,1.6529
2013-12-18,0.0
2013-12-19,0.813
2013-12-20,0.8065
2013-12-23,0.8
2013-12-24,0.7937
2013-12-26,0.0
2013-12-27,0.7874
2013-12-30,1.5625
2013-12-31,0.7692
2014-01-02,3.0534
2014-01-03,10.3704
2014-01-06,4.698
2014-01-07,0.641
2014-01-08,1.9108
2014-01-09,3.125
2014-01-10,-1.8182
2014-01-13,4.321
2014-01-14,-4.142
2014-01-15,-1.8519
2014-01-16,8.805
2014-01-17,3.4682
2014-01-21,-4.4693
2014-01-22,2.3392
2014-01-23,1.7143000000000002
2014-01-24,1.1236
2014-01-27,0.0
2014-01-28,7.2222
2014-01-29,0.0
2014-01-30,0.0
2014-01-31,1.0363
2014-02-03,-5.641
2014-02-04,-25.0
2014-02-05,-7.971
2014-02-06,-8.6614
2014-02-07,-23.2759
2014-02-10,-25.8567
2014-02-11,9.1116
2014-02-12,12.5
2014-02-13,-1.2346
2014-02-14,3.75
2014-02-18,-25.2861
2014-02-19,-67.7484
2014-02-20,-45.0
2014-02-21,13.75
2014-02-24,-38.4615
2014-02-25,-9.0909
2014-02-26,1.6071
2014-02-27,-1.5817
2014-02-28,0.0
2014-03-03,-7.1429
2014-03-04,7.6923
2014-03-05,-0.1786
2014-03-06,-13.9535
2014-03-07,-4.158
2014-03-10,12.7983
2014-03-11,-19.0385
2014-03-12,23.5154
2014-03-13,-7.6923
2014-03-14,-15.8333
2014-03-17,38.6139
2014-03-18,0.0
2014-03-20,0.0
2014-03-21,-28.5714
2014-03-24,0.0
2014-03-26,79.625
2014-03-27,0.0
2014-03-28,-22.0598
2014-03-31,7.1429
2014-04-01,-20.0
2014-04-02,25.0
2014-04-03,-30.5
2014-04-07,-13.6691
2014-04-08,-4.4444
2014-04-14,0.0
2014-04-16,0.0
2014-04-17,0.0
2014-04-22,0.0
2014-04-28,0.0
2014-04-30,-6.9767
2014-05-02,-7.5
2014-05-16,5.4054
2014-05-20,0.0
2014-05-22,0.0
2014-05-28,0.0
2014-06-02,0.0
2014-06-05,-2.5641
2014-06-06,0.0
2014-06-10,-5.2632
2014-06-11,0.0
2014-06-16,0.0
