ticker,WWPW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-07-06,3225.0
2006-07-07,13.5338
2006-07-10,4.6358
2006-07-11,10.1266
2006-07-12,4.5977
2006-07-13,2.7473
2006-07-14,-11.2299
2006-07-17,3.012
2006-07-18,1.1696
2006-07-19,-1.7341
2006-07-20,-4.7059
2006-07-21,-1.2346
2006-07-24,8.125
2006-07-25,-5.7803
2006-07-26,1.227
2006-07-27,-12.1212
2006-07-28,3.4483
2006-07-31,-9.3333
2006-08-01,19.1176
2006-08-02,8.0247
2006-08-03,-2.8571
2006-08-04,-1.1764999999999999
2006-08-07,-12.5
2006-08-08,4.0816
2006-08-09,-4.5752
2006-08-10,-4.1096
2006-08-11,-3.5714
2006-08-14,-11.1111
2006-08-15,0.0
2006-08-16,-2.5
2006-08-17,5.1282
2006-08-18,-1.626
2006-08-21,-4.9587
2006-08-22,-3.4783
2006-08-23,-8.1081
2006-08-24,15.6863
2006-08-25,-8.4746
2006-08-28,-1.8519
2006-08-29,-4.717
2006-08-30,0.9901
2006-08-31,1.9607999999999999
2006-09-01,-2.8846
2006-09-05,-2.4752
2006-09-06,-3.5533
2006-09-07,-7.3684
2006-09-08,-5.6818
2006-09-11,-13.253
2006-09-12,-9.7222
2006-09-13,12.3077
2006-09-14,20.5479
2006-09-15,-12.5
2006-09-18,-5.1948
2006-09-19,9.589
2006-09-20,-2.5
2006-09-21,-10.2564
2006-09-22,-2.8571
2006-09-25,-7.3529
2006-09-26,4.7421
2006-09-27,-6.0428
2006-09-28,-11.2903
2006-09-29,0.0
2006-10-02,1.8182
2006-10-03,-14.2857
2006-10-04,-8.3333
2006-10-05,-2.2727
2006-10-06,4.6512
2006-10-09,11.1111
2006-10-10,6.0
2006-10-11,-5.6604
2006-10-12,0.0
2006-10-13,2.0
2006-10-16,-9.8039
2006-10-17,6.5217
2006-10-18,0.0
2006-10-19,2.0408
2006-10-20,-2.0
2006-10-23,-14.2857
2006-10-24,-4.7619
2006-10-25,-12.5
2006-10-26,22.8571
2006-10-27,-15.6977
2006-10-30,18.6207
2006-10-31,-13.9535
2006-11-01,2.7027
2006-11-02,-2.6316
2006-11-03,-2.7027
2006-11-06,-2.7778
2006-11-07,2.8571
2006-11-08,2.7778
2006-11-09,0.0
2006-11-10,8.1081
2006-11-13,2.5
2006-11-14,-2.439
2006-11-15,-2.5
2006-11-16,-2.5641
2006-11-17,-7.8947
2006-11-20,-8.5714
2006-11-21,6.25
2006-11-22,-2.9412000000000003
