ticker,FGCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-12-11,66.6667
2012-12-14,4.0
2013-01-29,34.6154
2013-01-30,28.5714
2013-01-31,0.0
2013-02-26,-66.4444
2013-02-27,19.2053
2013-03-08,-1.1111
2013-03-11,12.3596
2013-03-12,12.5
2013-03-13,22.2222
2013-03-19,9.0909
2013-03-20,16.6667
2013-03-27,-14.2857
2013-03-28,50.0
2013-04-01,-22.2222
2013-04-03,14.2857
2013-09-13,-25.0
2013-12-06,-98.3333
2014-01-27,-70.0
2014-01-28,-72.0
2014-01-29,-21.4286
2014-01-30,-3.0303
2014-01-31,0.0
2014-02-04,18.75
2014-02-05,0.0
2014-02-06,0.0
2014-02-07,-1.4967
2014-02-10,14.8773
2014-02-11,11.6279
2014-02-12,14.5833
2014-02-13,-1.8182
2014-02-14,-9.2593
2014-02-18,8.1633
2014-02-19,3.7736
2014-02-20,9.0909
2014-02-21,15.0
2014-02-24,-5.0725
2014-02-25,-14.5038
2014-02-26,5.3571
2014-02-27,11.8644
2014-02-28,3.0303
2014-03-03,-7.3529
2014-03-04,7.9365
2014-03-05,-1.1029
2014-03-06,-4.8327
2014-03-07,0.0
2014-03-10,-10.9375
2014-03-11,7.0175
2014-03-12,-8.1967
2014-03-13,-2.6786
2014-03-14,0.0
2014-03-17,-15.5963
2014-03-18,-15.2174
2014-03-19,-7.6923
2014-03-20,-4.1667
2014-03-21,-1.4493
2014-03-24,4.9632
2014-03-25,6.4799
2014-03-26,-7.8947
2014-03-27,0.0
2014-03-28,-2.8571
2014-03-31,-5.8824
2014-04-01,-21.8164
2014-04-02,-8.019
2014-04-03,30.3639
2014-04-04,3.3333
2014-04-07,-12.8629
2014-04-08,1.8047
2014-04-09,16.3636
2014-04-10,0.0
2014-04-11,-6.25
2014-04-14,10.0
2014-04-15,-15.4545
2014-04-16,-12.1864
2014-04-17,12.2449
2014-04-21,-6.1818
2014-04-22,8.5271
2014-04-23,-12.544599999999999
2014-04-24,6.1766
2014-04-25,-32.6923
2014-04-28,-14.2857
2014-04-29,6.6667
2014-04-30,-6.25
2014-05-01,-6.6667
2014-05-02,-23.5714
2014-05-05,0.9346
2014-05-06,15.7407
2014-05-07,4.0
2014-05-08,-18.4615
2014-05-09,7.0755
2014-05-12,1.3216
2014-05-13,-1.7391
2014-05-14,-3.5398
2014-05-15,14.6789
2014-05-16,-23.9
2014-05-19,5.2562
2014-05-20,13.9825
2014-05-21,5.1479
2014-05-22,6.5104
