ticker,EMPM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-08-17,2.8037
2011-08-18,1.8182
2011-08-19,-1.7856999999999998
2011-08-23,0.0
2011-08-25,-9.0909
2011-08-26,6.0
2011-09-08,-7.5472
2011-09-12,-64.2857
2011-09-13,-40.0
2011-09-14,19.0476
2011-09-15,-8.0
2011-09-19,8.6957
2011-09-20,-24.0
2011-09-21,5.2632
2011-09-22,20.0
2011-09-23,20.8333
2011-09-26,8.6207
2011-09-27,6.3492
2011-09-28,1.4925
2011-09-29,0.0
2011-09-30,-11.7647
2011-10-03,-20.0
2011-10-04,-16.6667
2011-10-05,0.0
2011-10-06,0.0
2011-10-07,20.0
2011-10-10,-12.5
2011-10-11,9.5238
2011-10-12,-6.5217
2011-10-13,-16.2791
2011-10-14,5.5556
2011-10-17,-10.0
2011-10-18,25.731
2011-10-19,-20.9302
2011-10-20,11.7647
2011-10-21,-10.526299999999999
2011-10-24,0.0
2011-10-25,0.0
2011-10-26,0.0
2011-10-27,5.8824
2011-10-28,-5.5556
2011-10-31,5.8824
2011-11-01,0.0
2011-11-02,11.1111
2011-11-03,-10.0
2011-11-04,25.0
2011-11-07,27.5556
2011-11-08,-2.439
2011-11-09,8.9286
2011-11-10,0.0
2011-11-11,-32.7869
2011-11-14,2.439
2011-11-15,-14.2857
2011-11-16,-2.7778
2011-11-17,-5.7143
2011-11-18,-21.2121
2011-11-21,-19.2308
2011-11-22,4.7619
2011-11-23,0.0
2011-11-25,0.0
2011-11-28,0.0
2011-11-29,0.0
2011-11-30,0.0
2011-12-01,-18.1818
2011-12-02,0.0
2011-12-05,-10.0
2011-12-06,0.0
2011-12-07,0.0
2011-12-08,23.4568
2011-12-09,0.0
2011-12-13,-10.0
2011-12-14,0.0
2011-12-15,-27.7778
2011-12-16,-3.0769
2011-12-19,3.1746
2011-12-20,1.5385
2011-12-21,-9.0909
2011-12-22,-1.6667
2011-12-23,0.0
2011-12-27,-13.5593
2011-12-28,0.0
2011-12-29,0.0
2011-12-30,35.2941
2012-01-03,-14.4928
2012-01-04,18.6441
2012-01-06,0.0
2012-01-10,-27.1429
2012-01-11,-17.647100000000002
2012-01-18,0.0
2012-01-19,42.8571
2012-01-20,83.3333
2012-01-23,-18.1818
2012-01-24,27.7778
2012-01-25,30.4348
2012-01-26,-1.6667
2012-01-27,-5.0847
2012-01-30,-14.2857
2012-01-31,0.0
2012-02-01,25.0
2012-02-02,14.0
2012-02-03,16.9591
2012-02-06,-5.0
