ticker,KMWE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-10,-29.5455
2014-07-11,29.0323
2014-07-14,0.0
2014-07-17,0.0
2014-07-22,-10.0
2014-09-08,0.0
2014-09-09,5.5556
2014-09-11,0.0
2014-09-17,-1.3158
2014-09-22,-4.0
2014-09-24,-8.3333
2014-10-03,0.0
2014-10-30,3.0303
2014-11-06,-2.9412000000000003
2014-11-21,-3.0303
2015-01-02,-6.25
2015-02-03,-13.3333
2015-02-24,-3.8462
2015-02-25,20.0
2015-03-20,-23.3333
2015-03-23,8.6957
2015-05-22,0.0
2015-06-18,-8.0
2015-06-26,8.6957
2015-07-07,4.0
2015-07-08,0.0
2015-07-24,0.0
2015-08-18,0.0
2015-10-12,0.0
2015-10-13,0.0
2016-03-29,-42.3077
2016-04-11,-53.3333
2016-04-18,-71.4286
2016-05-02,0.0
2016-05-03,-39.375
2016-07-12,0.0
2016-07-27,280.9278
2016-08-11,8.2544
2016-09-16,0.0
2016-10-04,-75.75
2017-03-28,-17.5258
2017-08-01,0.0
2017-10-06,0.0
2017-11-02,0.0
2017-11-06,0.0
2017-11-14,50.0
2017-11-15,100.0
2017-11-28,-0.5
2017-12-20,101.005
2017-12-21,-50.0
2017-12-22,66.6667
2018-01-02,10.0
2018-03-22,-45.4545
2018-07-19,66.6667
2018-07-27,0.0
2018-12-26,-40.0
2019-07-24,0.0
2019-09-11,16.6667
2019-09-16,172.8571
2019-09-17,-21.466
2019-09-18,-18.5333
2019-09-23,-18.1669
2019-10-07,-10.0
2019-10-17,-4.6667
2019-11-29,-30.0699
2019-12-23,33.3333
2020-01-10,-37.5
2020-01-13,25.6
2020-02-26,-18.7898
2020-04-02,56.8627
2020-05-01,0.0
2020-05-22,-6.25
2020-05-26,46.6667
