ticker,OBLN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-10-06,0.0
2016-10-07,0.0
2016-10-10,0.0
2016-10-11,-0.6667
2016-10-12,-6.5772
2016-10-13,-6.8247
2016-10-14,-3.6237
2016-10-17,4.0
2016-10-18,5.7692
2016-10-19,0.3636
2016-10-20,0.7246
2016-10-21,-0.2878
2016-10-24,0.2165
2016-10-25,4.1037
2016-10-26,-8.852
2016-10-27,-0.607
2016-10-28,5.3435
2016-10-31,-6.3043
2016-11-01,-11.7556
2016-11-02,-11.7441
2016-11-03,-9.136
2016-11-04,-2.1858
2016-11-07,-2.2346
2016-11-08,-4.4571
2016-11-09,4.5455
2016-11-10,5.8352
2016-11-11,9.9459
2016-11-14,6.1947
2016-11-15,1.8519
2016-11-16,0.0
2016-11-17,4.0909
2016-11-18,-1.5721
2016-11-21,1.1535
2016-11-22,0.5263
2016-11-23,2.5305
2016-11-25,1.7021
2016-11-28,0.3347
2016-11-29,2.7523
2016-11-30,-0.974
2016-12-01,-7.541
2016-12-02,1.2411
2016-12-05,0.2627
2016-12-06,-1.31
2016-12-07,-3.1858
2016-12-08,-3.4735
2016-12-09,1.6098
2016-12-12,-3.7279
2016-12-13,1.1617
2016-12-14,-8.0383
2016-12-15,-6.5557
2016-12-16,-1.3363
2016-12-19,-0.1129
2016-12-20,-0.339
2016-12-21,-1.3605
2016-12-22,0.9195
2016-12-23,-0.4556
2016-12-27,-0.1144
2016-12-28,-2.1764
2016-12-29,2.3419
2016-12-30,1.2586
2017-01-03,3.5028
2017-01-04,8.4061
2017-01-05,-8.4592
2017-01-06,2.7503
2017-01-09,-4.6039
2017-01-10,1.0101
2017-01-11,1.2222
2017-01-12,1.3172
2017-01-13,-0.1083
2017-01-17,4.3384
2017-01-18,17.3597
2017-01-19,0.1771
2017-01-20,0.1768
2017-01-23,0.1765
2017-01-24,0.6167
2017-01-25,-0.5254
2017-01-26,-5.0176
2017-01-27,-5.2827
2017-01-30,-1.6634
2017-01-31,0.6965
2017-02-01,-0.7905
2017-02-02,-4.3825
2017-02-03,-1.7708
2017-02-06,2.8632
2017-02-07,-1.4433
2017-02-08,-1.046
2017-02-09,-1.2685
2017-02-10,-2.7837
2017-02-13,1.5419
2017-02-14,-1.9523000000000001
2017-02-15,1.4934
2017-02-16,-0.5995
2017-02-17,2.0833
2017-02-21,0.6445
2017-02-22,-1.3874
2017-02-23,-0.4329
2017-02-24,-1.8477999999999999
2017-02-27,1.1074
2017-02-28,2.0811
