ticker,SADL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-07,0.2475
2000-02-08,4.6914
2000-03-13,-3.3019
2000-03-20,-8.2927
2000-03-24,-2.1277
2000-03-31,2.1739
2000-04-03,0.0
2000-04-13,-2.1277
2000-04-24,-4.8913
2000-04-26,-2.8571
2000-04-27,3.5294
2000-05-31,16.822400000000002
2000-06-28,3.0
2000-06-29,0.9709
2000-07-10,0.0
2000-09-01,-7.6923
2000-09-07,-4.1667
2000-10-02,0.0
2000-10-13,0.0
2000-10-30,-3.8043
2000-11-01,3.9548
2000-11-07,0.0
2000-12-26,-4.3478
2000-12-27,0.0
2000-12-28,0.0
2000-12-29,0.0
2001-01-08,3.4091
2001-01-31,-0.5495
2001-02-28,-2.7624
2001-03-19,0.0
2001-03-20,-7.7273
2001-03-21,-11.33
2001-03-22,-1.3889
2001-03-23,23.9437
2001-03-26,0.0
2001-03-30,9.0909
2001-04-05,-4.1667
2001-04-11,-6.5217
2001-04-12,2.3256
2001-04-17,-9.0909
2001-04-19,0.0
2001-04-23,12.5
2001-04-27,-11.1111
2001-04-30,1.25
2001-06-01,27.2265
2001-06-12,-21.0
2001-06-14,36.7089
2001-06-29,0.0
2001-07-23,-5.5556
2001-07-24,1.9607999999999999
2001-08-01,-2.8846
2001-08-07,4.9505
2001-08-17,-1.8868
2001-08-30,0.0
2001-09-04,3.8462
2001-09-06,0.0
2001-09-07,0.0
2001-09-19,-0.9259
2001-09-21,-0.9346
2001-09-24,5.6604
2001-09-26,-5.3571
2001-09-27,1.8868
2001-10-12,0.0
2001-10-18,-7.4074
2001-11-27,-3.92
2001-12-10,-4.2465
2001-12-11,4.3478
2002-01-03,7.2917
2002-01-18,0.9709
2002-02-26,-6.7308
2002-02-27,1.0309
2002-03-01,-1.0204
2002-04-08,-1.0309
2002-04-30,0.0
2002-05-16,8.3333
2002-05-21,-7.6923
2002-05-22,1.0417
2002-05-23,6.25
2002-05-30,-5.6863
2002-05-31,3.5343
2002-06-10,-3.6145
2002-06-18,4.1667
2002-07-01,-3.0
2002-07-23,1.0309
2002-07-25,-1.0204
2002-09-27,1.0309
2002-10-11,0.0
2002-11-08,-0.9796
2002-11-25,0.9893
2002-11-29,-0.9796
2002-12-23,0.9893
2003-02-04,-0.8163
2003-02-13,-1.2346
2003-02-18,0.0
2003-02-19,6.25
2003-04-23,-5.8824
2003-05-23,10.6383
2003-06-23,-7.6923
2003-06-24,2.0833
2003-06-30,2.0408
2003-07-08,4.0
