ticker,CTLE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-02-09,-2.7027
2012-05-18,55455.5556
2012-05-21,50.0
2012-05-24,66.6667
2012-05-25,8.0
2012-05-29,2.662
2012-06-01,22.6607
2012-06-04,8.4375
2012-06-07,61.1121
2012-06-20,0.0
2012-06-21,6.0606
2012-06-22,-1.002
2012-06-27,-3.798
2012-07-03,8.3333
2012-07-09,0.0
2012-07-10,-4.6154
2012-07-12,0.0
2012-07-13,0.0
2012-07-16,0.0
2012-07-18,-1.129
2012-07-19,-2.1207
2012-07-25,-1.6667
2012-07-26,0.0
2012-07-31,10.1695
2012-08-03,-9.2308
2012-08-09,3.3898
2012-08-10,5.4918
2012-08-15,0.0
2012-08-23,-3.6519
2012-08-24,1.6129
2012-08-28,6.3492
2012-09-04,4.4776
2012-09-06,-11.4286
2012-09-07,12.9032
2012-09-10,-2.8571
2012-09-14,0.0
2012-10-01,0.0
2012-10-09,2.9412000000000003
2012-10-16,-11.4286
2012-10-26,9.6774
2012-11-02,0.0
2012-11-06,0.0
2012-11-09,25.0
2012-11-12,17.647100000000002
2012-11-13,9.0
2012-11-14,7.3394
2012-11-15,0.8547
2012-11-16,-2.5423999999999998
2012-11-19,-0.8696
2012-11-20,6.1404
2012-11-21,9.0909
2012-11-23,4.5455
2012-11-26,-0.7246
2012-11-27,-26.2774
2012-11-28,11.8812
2012-11-29,3.5398
2012-11-30,-4.2735
2012-12-03,-4.4643
2012-12-04,3.7382999999999997
2012-12-05,0.9009
2012-12-06,-8.0357
2012-12-07,9.7087
2012-12-10,1.7699
2012-12-11,0.8696
2012-12-12,-7.7586
2012-12-13,-9.3458
2012-12-14,3.0928
2012-12-17,-18.0
2012-12-18,7.9268
2012-12-19,-18.0791
2012-12-20,11.7241
2012-12-21,-3.7037
2012-12-24,0.0
2012-12-26,-11.538499999999999
2012-12-27,-15.942
2012-12-28,-5.1724
2012-12-31,6.9091000000000005
2013-01-02,-13.2653
2013-01-03,0.0
2013-01-04,-0.3922
2013-01-07,12.2047
2013-01-08,15.7895
2013-01-09,1.5152
2013-01-10,-2.9851
2013-01-11,-7.6923
2013-01-14,3.3333
2013-01-15,-1.6129
2013-01-16,3.2582
2013-01-17,1.6075
2013-01-18,3.125
2013-01-22,-3.0303
2013-01-23,6.25
2013-01-24,-13.2353
2013-01-25,-3.0508
2013-01-28,4.8951
2013-01-29,-1.8333
2013-01-30,0.1698
2013-01-31,3.3898
2013-02-01,-1.6393
2013-02-04,3.3333
