ticker,PSFT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-11,0.0
2008-05-02,-20.0
2008-05-05,0.0
2008-05-12,0.0
2008-05-13,0.0
2008-05-16,-1.25
2008-05-19,-3.7975
2008-06-13,-5.2632
2008-06-17,2.7778
2008-06-18,0.0
2008-06-20,2.7027
2008-07-01,-5.2632
2008-07-07,2.7778
2008-07-14,-5.4054
2008-07-24,2.8571
2008-07-28,-2.7778
2008-08-07,4.2857
2008-08-18,6.8493
2008-08-21,-7.6923
2008-08-22,8.3333
2008-08-25,-15.3846
2008-08-26,6.0606
2008-08-27,-5.7143
2008-08-28,-9.0909
2008-08-29,16.6667
2008-09-02,-5.7143
2008-09-03,-6.0606
2008-09-04,3.2258
2008-09-05,25.0
2008-09-08,-20.0
2008-09-09,-6.25
2008-09-10,6.6667
2008-09-11,3.125
2008-09-17,0.0
2008-09-19,-3.0303
2008-09-22,3.125
2008-09-24,0.0
2008-09-29,0.0
2008-10-01,-9.0909
2008-10-02,6.6667
2008-10-07,4.1667
2008-10-13,-7.0
2008-10-15,0.0
2008-10-20,3.2258
2008-10-21,4.1667
2008-10-23,-5.0
2008-10-29,1.0526
2008-11-06,0.0
2008-11-10,-11.4583
2008-11-12,0.0
2008-11-20,-4.7059
2008-11-21,0.0
2008-11-25,0.0
2008-12-02,-7.4074
2008-12-04,0.0
2008-12-09,13.3333
2008-12-30,-22.352899999999998
2009-01-05,-1.5152
2009-01-07,0.0
2009-01-08,0.0
2009-02-04,-15.3846
2009-02-19,23.6364
2009-02-23,-8.8235
2009-02-24,-11.2903
2009-03-05,-5.4545
2009-03-31,5.7692
2009-04-20,5.4545
2009-04-22,5.1724
2009-05-05,-1.6393
2009-05-07,0.0
2009-05-12,-1.6667
2009-05-13,-3.3898
2009-05-14,0.0
2009-05-15,0.0
2009-05-18,0.0
2009-05-22,0.0
2009-06-11,1.7544
2009-06-15,0.0
2009-06-30,0.0
2009-07-07,-1.7241
2009-07-16,-12.2807
2009-07-17,0.0
2009-07-20,0.0
2009-07-21,-10.0
2009-07-22,11.1111
2009-07-27,0.0
2009-07-28,0.0
2009-08-06,0.0
2009-08-13,0.0
2009-08-18,0.0
2009-08-26,0.0
2009-09-15,2.0
2009-09-17,1.9607999999999999
2009-09-18,1.9231
2009-09-24,0.0
2009-09-25,0.0
2009-09-30,1.8868
2009-10-15,0.0
2009-10-16,0.0
2009-10-19,1.8519
2009-10-27,9.0909
2009-10-28,8.3333
2009-10-29,-6.1538
