ticker,GLNV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-09-12,-12.6214
2008-04-02,12.6761
2009-04-13,-17.9028
2009-04-15,3.4268
2009-10-21,-2.5579
2010-01-05,4.2325
2010-03-04,-2.4985
2010-03-08,-12.5
2010-03-09,0.0
2010-03-10,-7.1429
2010-03-23,38.4615
2010-03-31,-5.5556
2010-04-13,-1.1764999999999999
2010-04-26,-10.1786
2010-05-11,6.6667
2010-12-21,1.7165
2011-05-11,-5.1833
2011-05-12,4.0
2012-01-25,1.696
2012-05-01,0.584
2012-05-03,0.0
2012-06-01,0.0
2012-06-12,0.6452
2012-08-22,0.0
2012-09-21,5.7382
2012-11-16,-4.3532
2012-11-19,4.8077
2012-12-17,-2.8289999999999997
2012-12-18,2.5316
2013-02-28,-4.7796
2013-03-07,1.6949
2013-04-04,3.8462
2013-04-16,-0.6173
2013-04-19,-3.1056
2013-04-23,5.5769
2013-07-23,-0.1832
2013-08-20,-0.861
2013-09-09,3.9082
2014-03-17,-0.4854
2014-04-09,3.6585
2014-06-09,0.5322
2014-07-24,0.0
2014-10-09,0.5322
2014-11-03,0.5322
2014-12-29,0.5322
2014-12-30,1.1764999999999999
2015-03-12,1.6949
2015-06-02,2.8307
2015-06-16,0.0
2015-10-05,-0.6211
2015-10-06,1.7045
2015-10-29,-12.4088
2016-12-19,2.0476
2017-06-22,4.7806
2017-08-29,19.4217
2017-12-07,0.4759
2018-07-11,-4.1023
2018-07-12,5.0
2018-07-13,0.0
2018-08-20,-7.4854
2018-08-21,8.6082
2018-09-26,-4.7619
2018-10-15,5.0
2018-11-13,-1.1164
2019-03-12,6.4639
2019-03-13,0.0
2020-03-18,0.471
