ticker,IFMK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-12-18,0.8147
2015-12-23,0.0
2015-12-28,0.5051
2015-12-31,0.0
2016-01-04,0.0
2016-01-14,0.0
2016-01-22,0.0
2016-01-29,0.0
2016-02-01,0.0
2016-02-02,0.7035
2016-02-09,-0.2994
2016-03-02,0.1001
2016-03-08,-0.1
2016-03-14,0.1001
2016-03-16,0.5
2016-03-17,-0.4975
2016-04-04,0.5
2016-04-06,0.2985
2016-04-07,1.1905000000000001
2016-04-08,-0.4902
2016-04-11,-0.6897
2016-04-18,0.496
2016-05-17,-0.4936
2016-06-06,0.4948
2016-06-07,-0.3936
2016-06-13,0.0
2016-06-14,1.0902
2016-06-16,-0.3333
2016-07-11,-0.1562
2016-07-29,0.516
2016-08-29,-0.1225
2016-10-03,0.0981
2016-11-02,0.5882
2016-11-30,0.3886
2016-12-14,-0.4806
2017-01-10,-3.4182
2017-01-11,5.1383
2017-01-12,3.2569
2017-01-13,-2.3976
2017-01-17,0.0
2017-01-18,3.9085
2017-01-19,-3.7649
2017-01-20,-0.2788
2017-01-23,0.3788
2017-01-24,2.8571
2017-01-25,-2.8704
2017-01-26,0.0953
2017-01-27,-0.0012
2017-01-30,-0.094
2017-01-31,0.4719
2017-02-01,4.2697
2017-02-02,0.5517
2017-02-03,-0.4536
2017-02-06,1.717
2017-02-07,0.0994
2017-02-08,-0.8929
2017-02-09,3.152
2017-02-10,-2.095
2017-02-13,6.9731
2017-02-14,2.0134
2017-02-15,18.5306
2017-02-16,15.4483
2017-02-17,42.7718
2017-02-21,15.8996
2017-02-22,-19.1336
2017-02-23,-10.7143
2017-02-24,0.6975
2017-02-27,2.1782
2017-02-28,-0.861
2017-03-01,-6.3281
2017-03-02,-7.8493
2017-03-03,-1.908
2017-03-06,1.3083
2017-03-07,2.64
2017-03-08,-3.9305
2017-03-09,1.7617
2017-03-10,-0.2847
2017-03-13,-1.2878
2017-03-14,2.1746
2017-03-15,-5.7211
2017-03-16,3.3273
2017-03-17,-1.4764
2017-03-20,-4.2478
2017-03-21,1.9593
2017-03-22,-1.5893000000000002
2017-03-23,3.3282
2017-03-24,-0.8736
2017-03-27,-5.2758
2017-03-28,-1.7088999999999999
2017-03-29,1.4166
2017-03-30,-5.0401
2017-03-31,-9.8032
2017-04-03,-1.2602
2017-04-04,-4.1282
2017-04-05,2.5832
2017-04-06,2.2901
2017-04-07,-1.0448
2017-04-10,6.4857
2017-04-11,-0.6941
2017-04-12,4.1221
