ticker,PHRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-09,38.3721
2012-03-12,17.6261
2012-03-13,-8.5551
2012-03-14,9.375
2012-03-15,-4.4286
2012-03-16,-26.009
2012-03-19,-2.0202
2012-03-20,12.3711
2012-03-21,7.5229
2012-03-22,12.628
2012-03-23,-1.9697
2012-03-26,6.0278
2012-03-27,-2.4052
2012-03-28,14.2644
2012-03-29,24.0523
2012-03-30,-18.862
2012-04-02,9.3506
2012-04-03,16.6271
2012-04-04,1.833
2012-04-05,13.0
2012-04-09,22.1239
2012-04-10,7.971
2012-04-11,3.3557
2012-04-12,12.3377
2012-04-13,4.0462
2012-04-16,8.8889
2012-04-17,13.7755
2012-04-18,-58.5202
2012-04-19,22.1622
2012-04-20,5.3097
2012-04-23,2.521
2012-04-24,-8.1967
2012-04-25,-24.1071
2012-04-26,-35.0588
2012-04-27,19.5652
2012-04-30,16.6667
2012-05-01,-12.987
2012-05-02,-47.1642
2012-05-03,-25.1412
2012-05-04,-5.283
2012-05-07,-24.502
2012-05-08,-17.6781
2012-05-09,25.0
2012-05-10,-2.5641
2012-05-11,-10.526299999999999
2012-05-14,-5.8824
2012-05-15,-31.25
2012-05-16,-20.9091
2012-05-17,25.2874
2012-05-18,19.2661
2012-05-21,29.375
2012-05-22,-16.7596
2012-05-23,-5.0
2012-05-24,-21.0526
2012-05-25,-4.7619
2012-05-29,-10.0
2012-05-30,-1.3194
2012-05-31,-5.4187
2012-06-01,-7.1429
2012-06-04,0.0
2012-06-05,-2.4038
2012-06-06,15.5993
2012-06-07,7.9545
2012-06-08,-7.3684
2012-06-11,-4.1193
2012-06-12,-9.7778
2012-06-13,-17.8982
2012-06-14,11.5
2012-06-15,-8.1614
2012-06-18,-3.125
2012-06-19,-3.2258
2012-06-20,-1.6667
2012-06-21,-6.7797
2012-06-22,5.2273
2012-06-25,-4.9676
2012-06-26,-3.6364
2012-06-27,-10.3774
2012-06-28,-9.7368
2012-06-29,-8.7464
2012-07-02,-7.9872
2012-07-03,2.7778
2012-07-05,18.9189
2012-07-06,43.1818
2012-07-09,27.1825
2012-07-10,-12.6365
2012-07-11,-11.4286
2012-07-12,-3.2258
2012-07-13,-8.3333
2012-07-16,-7.2727
2012-07-17,1.9607999999999999
2012-07-18,3.8462
2012-07-19,-6.4815
2012-07-20,1.6089
2012-07-23,1.0962
2012-07-24,-0.7229
2012-07-25,-2.9126
2012-07-26,0.0
2012-07-27,-6.0
2012-07-30,-12.5
