ticker,TWLO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-06-23,91.9333
2016-06-24,-8.6488
2016-06-27,3.6122
2016-06-28,9.7982
2016-06-29,23.9305
2016-06-30,-1.5642
2016-07-01,-6.7671
2016-07-05,0.0294
2016-07-06,11.4277
2016-07-07,-3.7437
2016-07-08,-2.6568
2016-07-11,4.9522
2016-07-12,2.681
2016-07-13,10.3133
2016-07-14,-1.1834
2016-07-15,2.9939999999999998
2016-07-18,-4.5814
2016-07-19,-4.777
2016-07-20,6.8083
2016-07-21,-3.8581
2016-07-22,1.7198
2016-07-25,-0.147
2016-07-26,-0.8834
2016-07-27,5.3231
2016-07-28,-0.8698
2016-07-29,-3.6519
2016-08-01,-3.1996
2016-08-02,-3.5596
2016-08-03,1.6346
2016-08-04,5.2918
2016-08-05,2.2173
2016-08-08,2.4343
2016-08-09,1.2
2016-08-10,1.4415
2016-08-11,11.6434
2016-08-12,9.4026
2016-08-15,9.7204
2016-08-16,1.4879
2016-08-17,-0.8089
2016-08-18,-7.5773
2016-08-19,0.8824
2016-08-22,6.8695
2016-08-23,-4.3819
2016-08-24,-4.4223
2016-08-25,-3.1157
2016-08-26,4.4676
2016-08-29,-0.7926
2016-08-30,-0.0372
2016-08-31,-0.3346
2016-09-01,1.4174
2016-09-02,5.9581
2016-09-06,2.7074
2016-09-07,-4.3089
2016-09-08,1.448
2016-09-09,-2.5239000000000003
2016-09-12,1.25
2016-09-13,-4.8148
2016-09-14,-1.5749
2016-09-15,1.6566
2016-09-16,5.0926
2016-09-19,0.9339
2016-09-20,-0.9078
2016-09-21,8.7033
2016-09-22,5.2188
2016-09-23,-1.3093
2016-09-26,0.2653
2016-09-27,6.1955
2016-09-28,1.0994
2016-09-29,-0.3625
2016-09-30,-6.3446
2016-10-03,1.0255
2016-10-04,-6.275
2016-10-05,0.8697
2016-10-06,-1.2689
2016-10-07,-0.1812
2016-10-10,-14.1301
2016-10-11,0.8074
2016-10-12,-3.1274
2016-10-13,-7.0079
2016-10-14,-2.392
2016-10-17,-3.6001
2016-10-18,7.4691
2016-10-19,-2.6376
2016-10-20,-5.0957
2016-10-21,-6.9778
2016-10-24,-0.8037
2016-10-25,-5.2296
2016-10-26,1.658
2016-10-27,-5.0459
2016-10-28,-4.9383
2016-10-31,-3.6702
2016-11-01,5.1583
2016-11-02,-4.8216
2016-11-03,-4.5388
2016-11-04,-3.1595
2016-11-07,-3.3259
2016-11-08,2.9161
2016-11-09,1.2735
2016-11-10,-0.9745
