ticker,EVUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.7037
2000-01-04,0.0
2000-01-10,0.0
2000-02-03,-21.4286
2000-03-01,-9.0909
2000-03-08,10.0
2000-03-22,9.0909
2000-03-28,112.5
2000-03-29,0.0
2000-04-12,-17.647100000000002
2000-04-13,4.7619
2000-04-18,-27.2727
2000-04-20,9.375
2000-04-25,12.857099999999999
2000-04-28,-10.1266
2000-05-02,-15.493
2000-05-03,3.3333
2000-05-04,-1.6129
2000-05-08,4.918
2000-05-10,6.25
2000-05-24,-10.2941
2000-05-25,-8.1967
2000-05-26,0.0
2000-05-31,2.6786
2000-06-06,4.3478
2000-06-07,-13.3333
2000-06-14,0.0
2000-06-15,-38.4615
2000-06-16,0.0
2000-06-19,25.0
2000-06-20,-10.0
2000-06-21,5.5556
2000-06-26,0.0
2000-06-30,-26.3158
2000-07-05,3.5714
2000-07-17,62.069
2000-07-26,-19.1489
2000-07-28,5.2632
2000-08-16,0.0
2000-08-22,0.0
2000-08-25,-5.0
2000-08-30,-18.4211
2000-09-06,0.0
2000-09-08,0.0
2000-09-14,-12.9032
2000-09-15,18.5185
2000-10-04,-31.25
2000-10-16,0.0
2000-10-18,-25.8182
2000-10-23,-14.2157
2000-10-24,0.0
2000-10-31,-0.5714
2000-11-02,-24.569
2000-11-03,4.7619
2000-11-07,-4.5455
2000-11-09,-47.619
2000-11-10,-27.2727
2000-11-13,-12.5
2000-11-16,-14.2857
2000-11-21,-16.6667
2000-11-27,20.0
2000-12-07,-33.3333
2000-12-18,-25.0
2000-12-20,33.3333
2000-12-27,-50.0
2000-12-28,0.0
2000-12-29,0.0
2001-01-04,100.0
2001-01-12,0.0
2001-01-16,-25.0
2001-01-17,33.3333
2001-01-18,-25.0
2001-01-24,33.3333
2001-01-25,-25.0
2001-02-01,100.0
2001-02-02,-33.3333
2001-02-09,25.0
2001-02-12,0.0
2001-02-13,-20.0
2001-02-26,0.0
2001-03-06,12.5
2001-03-08,-11.1111
2001-03-13,50.0
2001-03-14,-16.6667
2001-03-16,20.0
2001-03-19,-16.6667
2001-03-20,0.0
2001-04-02,-40.0
2001-04-03,66.6667
2001-05-11,-61.6
2001-05-16,-8.3333
2001-05-17,0.0
2001-05-24,136.3636
2001-05-29,-30.7692
2001-06-05,66.6667
2001-06-06,-46.6667
2001-06-11,-12.5
2001-06-15,100.0
2001-06-18,21.4286
2001-06-19,5.8824
2001-06-26,-44.4444
2001-06-27,0.0
2001-07-09,0.0
