ticker,NSYC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-09,-7.5
2000-03-08,2.7027
2000-03-21,-5.2632
2000-04-28,0.0
2000-05-11,-11.1111
2000-05-19,0.625
2000-06-19,-0.6211
2000-06-20,1.875
2000-07-18,-6.7485
2001-01-05,2.6316
2001-01-16,3.2051
2002-05-23,20.4969
2002-05-30,1.0309
2002-06-06,2.8061
2003-02-13,1.2407
2003-03-14,15.6863
2003-05-14,-10.5932
2003-05-20,0.4739
2003-07-15,11.3208
2003-08-27,-8.8983
2003-09-08,1.8605
2004-04-30,10.0457
2004-12-08,3.7657
2005-04-21,0.8065
2005-05-10,-1.6
2005-05-19,10.9756
2005-09-30,6.2731
2005-12-19,18.0556
2006-01-20,7.0588
2006-01-24,4.3956
2006-04-12,-4.7619
2006-05-17,4.4444
2006-06-19,-13.2979
2006-07-05,-0.6135
2006-07-28,4.321
2006-12-18,2.071
2007-04-25,-0.8746
2007-06-05,3.0
2007-06-08,3.3695
2007-07-13,1.6575
2007-10-03,-1.6303999999999998
2007-10-23,0.5525
2007-10-25,0.0
2008-01-18,3.4615
2008-01-22,0.9028
2008-02-29,-15.7895
2008-03-17,-3.75
2008-03-18,3.8961
2008-03-20,0.0
2008-03-25,1.25
2008-04-30,4.9383
2008-05-29,5.8824
2008-06-18,0.0
2008-06-26,-7.2222
2008-07-02,1.7964
2008-07-17,-0.5882
2008-09-12,0.0
2008-09-16,-10.6509
2008-10-09,-4.6358
2008-10-10,-7.6389
2008-10-17,-1.5038
2008-10-20,2.2901
2008-10-24,8.209
2008-10-30,-16.5517
2008-11-07,0.0
2008-11-11,7.9752
2008-11-26,-6.6207
2008-12-05,0.0
2008-12-12,-6.5574
2008-12-16,-3.5088
2008-12-17,-2.7273
2008-12-19,-1.8692
2008-12-22,0.9524
2009-01-22,3.7736
2009-01-23,-3.6364
2009-02-23,0.0
2009-04-16,0.0094
2009-04-27,13.1969
2009-05-05,-8.3333
2009-05-14,9.0909
2009-05-20,0.0
2009-05-28,-8.3333
2009-06-01,-5.4545
2009-06-03,5.7692
2009-06-08,1.8182
2009-07-01,-1.7856999999999998
2009-07-02,0.0
2009-07-21,-1.8182
2009-07-23,0.0
2009-07-29,0.0
2009-09-03,0.0
2009-09-08,77.3148
2009-09-10,0.0
2009-12-16,-28.4345
2009-12-24,-5.3571
2010-03-31,3.7736
2010-04-22,19.0909
2010-05-19,3.8167999999999997
2010-05-20,0.0
2010-06-04,0.7353
2010-07-21,0.0
