ticker,ANFIF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-10,-4.2
2012-10-11,-15.4489
2012-10-12,2.4691
2012-10-15,1.0843
2012-10-16,0.0
2012-10-17,-2.6222
2012-10-18,-1.4687999999999999
2012-10-19,-1.2422
2012-10-22,-1.2579
2012-10-23,-1.9108
2012-10-24,0.1299
2012-10-25,0.9079
2012-10-26,-1.5424
2012-10-31,5.0914
2012-11-01,0.7453
2012-11-02,4.1924
2012-11-05,-1.7751000000000001
2012-11-06,-1.2048
2012-11-07,-2.1951
2012-11-08,-2.6185
2012-11-09,0.6402
2012-11-12,-2.6718
2012-11-13,-1.0458
2012-11-14,-0.2642
2012-11-15,-1.5894
2012-11-16,-0.5384
2012-11-19,2.1651
2012-11-20,1.1921
2012-11-21,5.4974
2012-11-23,2.9777
2012-11-26,-0.6024
2012-11-27,-0.3636
2012-11-28,-0.4866
2012-11-29,-2.0782
2012-11-30,0.9988
2012-12-03,-0.9889
2012-12-04,-0.8739
2012-12-05,0.3692
2012-12-06,-2.1246
2012-12-07,-1.2821
2012-12-10,4.6753
2012-12-11,-0.4963
2012-12-12,0.8728
2012-12-13,-1.7305000000000001
2012-12-14,-0.3774
2012-12-17,0.8838
2012-12-18,1.5019
2012-12-19,-0.3699
2012-12-20,-1.4851
2012-12-21,-2.1357
2012-12-24,-0.1284
2012-12-26,-0.3856
2012-12-27,-0.129
2012-12-28,-2.0672
2012-12-31,4.8812999999999995
2013-01-02,-3.0189
2013-01-03,1.1673
2013-01-04,0.0
2013-01-07,-5.3846
2013-01-08,-0.6775
2013-01-09,-4.3656
2013-01-10,-1.5692
2013-01-11,-2.1739
2013-01-14,0.5926
2013-01-15,2.651
2013-01-16,-1.8651
2013-01-17,2.7778
2013-01-18,1.4224999999999999
2013-01-22,-1.1219999999999999
2013-01-23,-1.4184
2013-01-24,-2.0144
2013-01-25,-2.4963
2013-01-28,-4.3675
2013-01-29,1.1024
2013-01-30,4.2056000000000004
2013-01-31,2.8401
2013-02-01,-1.5988
2013-02-04,-2.0679
2013-02-05,-3.0166
2013-02-06,3.1104
2013-02-07,-1.2066
2013-02-08,-0.6107
2013-02-11,1.0753
2013-02-12,-0.9119
2013-02-13,0.0
2013-02-14,5.3681
2013-02-15,0.4367
2013-02-19,0.2899
2013-02-20,0.7225
2013-02-21,-2.726
2013-02-22,3.2448
2013-02-25,0.2857
2013-02-26,0.8547
2013-02-27,-0.4237
2013-02-28,1.9858
2013-03-01,0.4172
