ticker,PINC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-09-26,13.5185
2013-09-27,3.3931
2013-09-30,0.0316
2013-10-01,-2.8391
2013-10-02,-0.4545
2013-10-03,1.3046
2013-10-04,0.1932
2013-10-07,-0.4177
2013-10-08,-1.4198
2013-10-09,-0.1637
2013-10-10,-0.1639
2013-10-11,-0.624
2013-10-14,1.3219
2013-10-15,0.8154
2013-10-16,1.5852
2013-10-17,-0.3185
2013-10-18,1.1502
2013-10-21,-2.9059
2013-10-22,1.0735
2013-10-23,0.1609
2013-10-24,1.0604
2013-10-25,-0.1272
2013-10-28,1.7191999999999998
2013-10-29,-0.1252
2013-10-30,-0.0313
2013-10-31,-3.4169
2013-11-01,0.3246
2013-11-04,2.4911
2013-11-05,-1.1364
2013-11-06,-0.2554
2013-11-07,-0.8963
2013-11-08,0.0646
2013-11-11,0.5487
2013-11-12,-0.4815
2013-11-13,0.2258
2013-11-14,0.251
2013-11-15,0.0706
2013-11-18,-0.1412
2013-11-19,-0.3084
2013-11-20,0.3867
2013-11-21,-0.1926
2013-11-22,0.3216
2013-11-25,-0.3527
2013-11-26,-0.1931
2013-11-27,3.9329
2013-11-29,2.0782
2013-12-02,4.6794
2013-12-03,2.3222
2013-12-04,-0.7092
2013-12-05,1.4285999999999999
2013-12-06,0.9296
2013-12-09,2.4281
2013-12-10,-1.9074
2013-12-11,-0.0556
2013-12-12,0.6392
2013-12-13,1.1875
2013-12-16,2.0742
2013-12-17,-0.9358
2013-12-18,1.8084
2013-12-19,0.5832
2013-12-20,0.8171
2013-12-23,-1.3856
2013-12-24,0.9544
2013-12-26,-2.2059
2013-12-27,2.0677
2013-12-30,-1.9205
2013-12-31,-1.3948
2014-01-02,-1.6865999999999999
2014-01-03,1.1345
2014-01-06,0.0821
2014-01-07,0.1914
2014-01-08,2.1282
2014-01-09,2.6984
2014-01-10,-0.8065
2014-01-13,-2.3341
2014-01-14,-1.5306
2014-01-15,2.6179
2014-01-16,0.7707
2014-01-17,-0.0527
2014-01-21,-0.2639
2014-01-22,-1.8782999999999999
2014-01-23,-0.9437
2014-01-24,-3.4295
2014-01-27,-0.2255
2014-01-28,-0.339
2014-01-29,0.8787
2014-01-30,0.1967
2014-01-31,-2.7201
2014-02-03,-1.9602
2014-02-04,-0.147
2014-02-05,-0.53
2014-02-06,0.5921
2014-02-07,-0.0883
2014-02-10,1.8262
2014-02-11,-0.2603
2014-02-12,-0.232
2014-02-13,3.8081
2014-02-14,-1.9602
