ticker,AQFH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-07-24,16.6667
2012-07-31,-7.1429
2012-08-01,0.0
2012-08-03,0.0
2012-08-09,-8.461500000000001
2012-08-10,0.8403
2012-08-14,0.0
2012-08-21,0.0
2012-08-24,10.0
2012-08-28,0.0
2012-08-29,0.0
2012-08-30,0.0
2012-08-31,0.0
2012-09-13,-1.5152
2012-09-17,-7.6923
2012-10-16,10.0
2012-10-17,-12.8788
2012-11-01,10.4348
2012-11-06,-1.5748
2012-11-21,4.8
2012-12-03,0.0
2012-12-05,-0.7634
2012-12-18,6.1538
2013-01-03,-9.4203
2013-01-09,0.0
2013-01-10,0.0
2013-01-11,0.0
2013-01-24,10.4
2013-02-06,0.0
2013-02-11,1.4493
2013-02-12,-1.4285999999999999
2013-02-27,1.4493
2013-03-05,-7.1429
2013-03-06,0.0
2013-03-20,6.1538
2013-03-21,1.4493
2013-03-22,1.4285999999999999
2013-03-28,-8.4507
2013-04-11,0.3077
2013-04-17,-0.4601
2013-04-18,15.5624
2013-04-22,0.0
2013-04-23,0.0
2013-05-10,32.0
2013-05-16,12.1212
2013-05-17,0.0
2013-05-21,0.0
2013-05-28,-5.4054
2013-06-03,-2.8571
2013-06-05,2.8235
2013-06-06,0.1144
2013-06-10,-2.8571
2013-06-13,0.0
2013-06-14,-4.1176
2013-06-18,-3.0675
2013-06-24,0.6329
2013-06-25,-0.2516
2013-06-26,0.0
2013-06-27,0.2522
2013-07-03,0.6289
2013-07-08,-1.25
2013-07-15,-4.4304
2013-07-17,0.0
2013-07-23,0.0
2013-07-24,0.0
2013-07-29,9.2715
2013-08-07,-0.6061
2013-08-16,-2.439
2013-08-22,-1.25
2013-08-23,1.2658
2013-08-26,-2.5
2013-08-28,-8.9744
2013-08-29,9.1549
2013-09-06,-3.2258
2013-09-16,3.3333
2013-09-23,0.0
2013-09-27,0.6452
2013-10-02,-8.9744
2013-10-08,5.6338
2013-10-22,0.0
2013-10-24,-2.6667
2013-10-25,0.0
2013-10-31,6.1644
2013-11-01,-2.5806
2013-11-06,2.649
2013-11-08,1.2903
2013-11-13,-5.0955
2013-11-18,0.0
2013-11-20,0.0
2013-11-21,0.6711
2013-11-22,0.0
2013-11-25,-7.3333
2013-11-26,8.6331
2013-11-27,0.6711
2013-12-02,-2.0
2013-12-03,0.9524
2013-12-04,1.0782
2013-12-05,-1.3333
2013-12-06,0.0
2013-12-11,0.0
2013-12-13,2.027
2013-12-16,-3.9735
2013-12-18,3.4483
